unit,n_spk,M,mu,p_rayleigh,cell_type,M_real_same_n,M_null_median,p_shuffle
201,1986,0.025986659504062034,-2.805810696747869,0.2615424558078396,excitatory,0.02598665950406204,0.018112715626152597,0.28903654485049834
202,1142,0.1338640334429618,-1.0717187032735647,1.2957712859712922e-09,excitatory,0.1338640334429618,0.023400263803994847,0.0033222591362126247
203,1043,0.05463435091915274,2.030544731122051,0.04445563607276094,excitatory,0.05463435091915273,0.02540383982951622,0.03986710963455149
204,1225,0.11473062283893339,1.8313577383001627,9.933013120333618e-08,excitatory,0.11473062283893339,0.024355959269582797,0.0033222591362126247
210,748,0.13460727204431866,0.8945840689766194,1.3000601438909126e-06,excitatory,0.13460727204431866,0.03131802611681886,0.0033222591362126247
211,880,0.04291551047669808,0.5739657607845835,0.1977538675524014,excitatory,0.042915510476698074,0.027987374852078792,0.15282392026578073
214,10383,0.01453366126091447,-2.741016246621528,0.11156218215256644,inhibitory,0.02102349892122943,0.020487086695706445,0.4750830564784053
215,1198,0.09961801539875349,2.4664404412608296,6.867906063774824e-06,excitatory,0.09961801539875348,0.025692961821616428,0.0033222591362126247
216,1368,0.3137910972016697,0.9377805928687949,3.166421279547964e-59,excitatory,0.3137910972016697,0.02503191243064263,0.0033222591362126247
217,1621,0.17705108495752583,1.6824719917978723,8.549130852186299e-23,excitatory,0.17705108495752583,0.022248165783474588,0.0033222591362126247
219,849,0.060639745341097256,2.5076638397382727,0.04407225957376459,excitatory,0.06063974534109725,0.029273932578263894,0.03322259136212625
220,426,0.05635496971571817,-0.11176936656439843,0.25848283422261703,excitatory,0.05635496971571816,0.0410811121262059,0.2724252491694352
221,865,0.0682783925753888,-1.6376616618018083,0.017728581953311763,excitatory,0.06827839257538881,0.029901182094617923,0.016611295681063124
222,2332,0.07885045245665996,-1.3111842837837542,5.048712128221307e-07,excitatory,0.07166796366365895,0.019560418325450652,0.0033222591362126247
225,772,0.21956917792960223,-1.6302225454019732,6.85751363842331e-17,excitatory,0.2195691779296022,0.030325619342756703,0.0033222591362126247
229,2318,0.015301998266112027,-0.7815797278087757,0.5811407086611804,excitatory,0.022960042319546698,0.01900779671137493,0.3853820598006645
236,428,0.14476416358814678,-2.4358528433511366,0.0001272379262174567,excitatory,0.14476416358814678,0.03928997101916901,0.006644518272425249
237,1742,0.05055735092022675,-1.8209315979697085,0.01164787329677602,excitatory,0.05055735092022675,0.021060869917569537,0.013289036544850499
238,1248,0.11331471144242146,2.996833353049391,1.0980065539052388e-07,excitatory,0.11331471144242146,0.02463241512609453,0.0033222591362126247
240,3548,0.025952736672678077,-1.2029310365728934,0.09165387448786881,excitatory,0.018212003926450535,0.02040831131428936,0.5614617940199336
241,1402,0.2530478016831106,2.803442237135327,1.0266348684796633e-39,excitatory,0.25304780168311064,0.02387523450406253,0.0033222591362126247
242,1211,0.0565636717729925,3.088697508364817,0.02076403872649265,excitatory,0.0565636717729925,0.02470152762982707,0.016611295681063124
250,50000,0.2636153450940755,1.5696505298879755,0.0,inhibitory,0.24417477609904847,0.019968930570321338,0.0033222591362126247
253,682,0.04889929914000057,2.243391353708667,0.19578102312848839,excitatory,0.04889929914000057,0.032143205481700535,0.20930232558139536
255,2667,0.19010946365494416,-2.4878600804676996,1.3756205153866045e-42,excitatory,0.1798810538824216,0.02009263397934616,0.0033222591362126247
256,15265,0.47984291470875784,1.5778745292603122,0.0,inhibitory,0.4855142794131196,0.019970297224020626,0.0033222591362126247
257,3936,0.08407080187304299,-2.7047189505579143,8.284223154484605e-13,excitatory,0.06965967635241548,0.01926708352023201,0.0033222591362126247
258,2565,0.1335365604232898,-1.6725906449159977,1.366959038325291e-20,excitatory,0.14918057279026528,0.019421777164510136,0.0033222591362126247
259,6076,0.04267713322114101,2.8531037653534757,1.5627976803740078e-05,excitatory,0.06267477100986756,0.019744325859794173,0.0033222591362126247
263,3048,0.17669525730613622,0.493486166829636,4.6941346026657764e-42,excitatory,0.17790733625886204,0.019150634294063888,0.0033222591362126247
264,317,0.0676672156828956,-2.8548740039437632,0.2342196078117756,excitatory,0.0676672156828956,0.049760786000397864,0.2724252491694352
266,1135,0.19049750512423655,-1.8395536321735426,1.2945676629783575e-18,excitatory,0.19049750512423655,0.0266390774574434,0.0033222591362126247
267,3175,0.24629179834780512,2.074159666920759,2.276773417637212e-84,inhibitory,0.25922246186323256,0.019512662212416015,0.0033222591362126247
268,2394,0.10644442169397991,3.1007335637745985,1.6586563086249004e-12,excitatory,0.1047169474936631,0.020123567627065003,0.0033222591362126247
269,813,0.049155263586112226,2.584756937645035,0.14023957487656974,excitatory,0.04915526358611223,0.029271715893988595,0.15614617940199335
270,681,0.08369431054615653,-2.6443499681649194,0.008478461116820673,excitatory,0.08369431054615653,0.033017304543646105,0.006644518272425249
271,223,0.0771881624109961,-3.0419774543864686,0.26483805080366773,excitatory,0.07718816241099613,0.055927329098048824,0.25249169435215946
272,1053,0.051823581645326126,2.3686971114123034,0.05912952832355513,excitatory,0.051823581645326126,0.02744320556466895,0.07641196013289037
