unit,direction,peak_rate,spatial_info,field_lo,field_hi,field_peak,field_width,n_spikes_run,is_place_cell
84,right,1.0190503688862402,1.6646929291739339,0.06,0.33999999999999997,0.18,0.27999999999999997,21,True
92,right,27.781034089212877,1.638702151184149,0.02,0.26,0.06,0.24000000000000002,719,True
93,right,3.5502344860744555,1.1005861384912359,0.02,0.14,0.06,0.12000000000000001,80,True
95,right,10.886353417711362,2.2959134200142497,0.02,0.1,0.02,0.08,150,False
96,right,3.3598902758944735,1.1822025662670004,0.02,0.1,0.02,0.08,61,False
98,right,1.0998316124453844,0.9730872298443192,1.1,1.58,1.3,0.48,22,True
101,right,1.348149631216368,1.5476185497489547,0.02,0.22,0.02,0.2,26,True
103,right,3.255852780241298,0.6589527112786476,0.98,1.58,1.3800000000000001,0.6000000000000001,74,True
109,right,5.164904303518837,1.658219661214468,1.1,1.58,1.42,0.48,89,True
110,right,1.1243304298947885,1.3511577655859104,1.46,1.58,1.58,0.1200000000000001,13,True
111,right,1.3194249790407027,1.5894730599433484,0.02,0.14,0.02,0.12000000000000001,24,True
112,right,6.66590206988716,2.352943544985639,0.02,0.1,0.02,0.08,82,False
113,right,15.43738650609556,0.7467307241280513,0.06,0.5800000000000001,0.26,0.52,498,True
114,right,1.8652604524924852,1.3549711187515179,1.1400000000000001,1.46,1.26,0.31999999999999984,28,True
116,right,2.1460660101272446,0.32782657130387216,0.78,1.58,1.1,0.8,96,False
117,right,1.2258952391712887,0.7204608593580031,1.1,1.34,1.18,0.24,32,True
118,right,6.518350937924218,0.4097130120651897,0.02,0.54,0.42000000000000004,0.52,206,False
125,right,6.440678405655252,0.2812573830065851,0.02,0.62,0.02,0.6,283,False
129,right,8.398699846743162,0.22836771427658517,1.1,1.58,1.58,0.48,335,False
137,right,3.0433918891279195,0.7751593141298867,0.02,0.18,0.02,0.16,79,True
143,right,2.4961565316220518,1.3871334330638125,0.33999999999999997,0.62,0.5,0.28,46,True
146,right,23.065485316923375,0.2736469993301784,0.22,1.58,1.3800000000000001,1.36,1134,False
148,right,7.86482854196155,0.6765102522114812,0.66,1.58,1.54,0.92,235,True
151,right,8.107243491903846,0.7092600707446516,1.3800000000000001,1.58,1.54,0.19999999999999996,156,True
161,right,4.314533254977247,0.3885236680814397,0.74,1.58,1.1400000000000001,0.8400000000000001,206,False
163,right,4.713145123143977,0.5940191168573494,0.02,0.18,0.02,0.16,153,True
175,right,20.906794126990725,1.1614931742631702,0.02,0.42000000000000004,0.26,0.4,626,True
176,right,25.753155572341672,0.5136378564969785,0.02,0.7,0.18,0.6799999999999999,1291,True
177,right,11.78533685214421,1.0454809480169338,0.5800000000000001,1.22,0.8200000000000001,0.6399999999999999,328,True
