session,maze,track_len,unit,direction,peak_rate,spatial_info,field_lo,field_hi,field_peak,field_width,n_field_spikes,is_place_cell,slope_cycles,slope_deg,phi0,rho,pval
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,240,right,8.429565874129935,0.6588652487267413,0.38,1.02,0.62,0.64,237,True,-0.6575,-236.7,-0.5720127400202086,-0.11444633369871775,0.08183632734530938
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,241,right,1.0981557962108792,2.282304337443621,0.02,0.14,0.02,0.12000000000000001,13,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,242,right,4.747057176607538,1.2123315255444342,1.1400000000000001,1.58,1.58,0.43999999999999995,49,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,253,right,1.4706076423195882,1.0541880453746273,0.78,1.58,1.34,0.8,40,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,255,right,2.6518934384581367,0.6702260945832531,0.02,0.14,0.02,0.12000000000000001,22,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,257,right,3.7553769596983604,0.08656080933229668,0.02,1.58,0.02,1.56,221,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,258,right,6.594989418591,0.16420304121937213,0.02,0.26,0.06,0.24000000000000002,168,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,259,right,21.058659906084458,0.2038295794932235,0.02,1.1400000000000001,0.66,1.12,1058,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,264,right,1.2373065669495897,0.912658948067294,0.02,0.22,0.02,0.2,21,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,268,right,14.221481128086168,0.36194280371113635,0.02,0.30000000000000004,0.02,0.28,365,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,270,right,5.449212778465022,0.8249186729491422,0.26,0.7,0.42000000000000004,0.43999999999999995,114,True,0.5049999999999999,181.79999999999995,-2.3336220356425947,0.057783187624058346,0.5209580838323353
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,7,left,6.4067398683346175,0.5708539756134329,0.02,0.66,0.26,0.64,182,True,-1.2349999999999999,-444.59999999999997,-3.018607441544324,-0.1811307366868768,0.00998003992015968
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,9,left,9.146362965938712,1.8737012109330533,1.46,1.58,1.58,0.1200000000000001,53,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,11,left,1.8605574662672835,0.6325244018941469,0.02,0.30000000000000004,0.18,0.28,25,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,12,left,3.2951902534683537,0.42796343698936734,0.30000000000000004,0.94,0.7,0.6399999999999999,81,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,16,left,11.526177065908525,0.48155244371727884,0.45999999999999996,1.5,1.1400000000000001,1.04,550,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,21,left,1.4854157769409044,0.6428083383874846,0.45999999999999996,0.9,0.54,0.44000000000000006,28,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,23,left,5.933626901106776,0.9352943621476237,0.38,0.7,0.5,0.31999999999999995,87,True,-0.9299999999999999,-334.79999999999995,-0.7793473365032983,-0.3121536922796156,0.007984031936127744
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,27,left,11.521203935074345,0.6485611933969305,0.14,0.8200000000000001,0.62,0.68,296,True,0.24249999999999994,87.29999999999998,2.863338172063106,0.15960829658870127,0.011976047904191617
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,33,left,15.897766057266907,0.7106772128627509,0.02,0.26,0.02,0.24000000000000002,227,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,39,left,19.629106854663267,0.19417882542827164,0.02,0.8200000000000001,0.1,0.8,731,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,41,left,3.517700799846292,0.24674067909576736,0.02,0.5800000000000001,0.02,0.56,62,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,50,left,29.119064391270435,0.23753572392237132,0.22,1.46,0.74,1.24,1308,False,,,,,
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,51,left,16.633990541308396,1.5416303506060842,0.54,0.9,0.74,0.36,227,True,-0.385,-138.6,-3.0547128562874097,-0.33800844105243544,0.001996007984031936
Achilles-10252013,1.6mLinearMazeLinearizedPosition,1.6,52,left,8.20292996600016,0.09963352670428284,0.02,1.5,1.22,1.48,536,False,,,,,
