session,unit,direction,lo,hi,peak_pos,width,peak_rate,si,n_spikes,mrl,slope,phi0,rho,p,n
Achilles_10252013,120,left,32.0,64.0,46.0,32.0,5.4956467126657405,0.8831751632263724,72,0.09709516131966713,-3.418052807105695,3.68529938892365,-0.41229065521803776,0.000680687668100699,72
Achilles_10252013,128,left,16.0,56.0,34.0,40.0,5.161432759332884,1.6465781011560396,81,0.397847138823115,-1.8975219627682354,3.6349511947896946,-0.35318728492561396,0.001808576661715966,81
Achilles_11012013,1,left,180.0,228.0,206.0,48.0,12.750501294006208,1.2940631023086338,855,0.27569050984717497,-1.7592918860102844,5.262721774073132,-0.16820803077215862,1.2183671092014237e-06,855
Achilles_11012013,2,left,4.0,44.0,22.0,40.0,13.825171309868614,0.5042028307427598,319,0.06932380829004794,-6.622477313767283,5.918563743982003,0.3255661049366532,4.171017531362509e-09,319
Achilles_11012013,3,left,216.0,272.0,234.0,56.0,18.718061632180135,0.5892488797851558,1332,0.06100524627422456,-6.107256118578558,0.5159891690029631,0.2358578361129082,0.0,1332
Achilles_11012013,4,left,108.0,164.0,146.0,56.0,4.156679765603633,0.9185954717337765,254,0.11613625121609432,-11.736990153811467,6.14430583134151,-0.24019940222122863,0.00015393825123433125,254
Achilles_11012013,5,left,24.0,80.0,66.0,56.0,1.3372685674284523,0.5637680679686501,46,0.20635744310118903,-2.4630086404143974,5.729706974505926,-0.3010436002296257,0.050995018620486166,46
Achilles_11012013,7,left,224.0,264.0,242.0,40.0,9.528438125527307,0.7782755079917999,443,0.1566929545302435,-3.1667253948185117,5.9897842052596015,-0.1743280213835574,0.00024960204709501,443
Achilles_11012013,8,left,116.0,152.0,134.0,36.0,7.466731933408952,2.019544708903525,277,0.07797020187392932,-5.956459671206248,5.9097922355240575,-0.5609433102721062,0.0,277
Achilles_11012013,9,left,244.0,292.0,270.0,48.0,12.911413866864986,0.8386604455366099,726,0.15319950879865976,-3.908141261065702,5.4289851213194655,-0.2934884960523438,5.773159728050814e-15,726
Achilles_11012013,13,left,136.0,172.0,154.0,36.0,19.606119642273427,1.2579997337280073,844,0.16025721397264714,-3.870442149222624,5.512143219329529,-0.02558786809075904,0.4664952515775296,844
Achilles_11012013,14,left,112.0,152.0,130.0,40.0,27.789317393428213,0.9434234707414326,1091,0.09668510947547193,-5.9061941887488105,6.2637434996150745,0.03758593975000126,0.21141131961464987,1091
Achilles_11012013,15,left,212.0,244.0,226.0,32.0,2.012071793687511,1.020425379996917,85,0.12404873803279876,-6.396282642708819,0.7384984371753762,-0.3001623962763568,0.005970729538023356,85
Achilles_11012013,19,left,112.0,148.0,130.0,36.0,27.608691657374127,1.7511193103480198,990,0.1136345284854611,-5.6046012940041905,6.243842995122449,-0.09893475713042461,0.0018490550183845045,990
Achilles_11012013,20,left,108.0,148.0,130.0,40.0,19.278544904262635,1.837273035081623,734,0.03707550111463386,-5.315574769873931,5.339192281900736,-0.4007019899076577,0.0,734
Achilles_11012013,21,left,4.0,40.0,18.0,36.0,17.789691995541265,1.405144529963361,416,0.1670475968089866,-4.322831491339555,5.472563740933359,-0.39296807761768204,4.440892098500626e-16,416
Achilles_11012013,22,left,112.0,172.0,158.0,60.0,4.8165155269414175,0.9711176280652942,253,0.1946936320517723,-10.31699027438888,5.404909803934845,-0.5214425213774606,2.220446049250313e-16,253
Achilles_11012013,25,left,156.0,188.0,174.0,32.0,7.091282210155311,1.1878021820377687,315,0.16068468544100697,-4.172035043967245,5.178877655870833,-0.6172399901221981,0.0,315
Achilles_11012013,26,left,52.0,88.0,70.0,36.0,8.316174704630528,0.9488421958843662,213,0.06431909252093758,-5.755397741376501,5.969578125370053,-0.4720358162834385,1.003042093827844e-11,213
Achilles_11012013,29,left,224.0,276.0,254.0,52.0,6.506427033270423,0.8102688101647552,403,0.048559529538050955,-5.504070329089317,5.090956108773759,-0.3670564251788488,1.2598810883446276e-12,403
Achilles_11012013,30,left,116.0,140.0,130.0,24.0,3.7121362919784153,1.8829623833672484,87,0.1527182667499473,-2.287079451813369,4.909604385807839,-0.2773512533019719,0.011314568738070907,87
Achilles_11012013,32,left,120.0,176.0,158.0,56.0,5.296353071123095,0.5729847494578565,342,0.21195837271101675,-10.266724791931443,5.028898367550619,0.13195803094653336,0.014076465047162978,342
Achilles_11012013,33,left,144.0,180.0,162.0,36.0,17.52539820019597,1.6798758082515433,799,0.09088935214038538,-5.026548245743669,4.990536775206844,-0.3685395356058492,0.0,799
Achilles_11012013,34,left,248.0,292.0,270.0,44.0,2.3926289578319535,0.9311675638968052,127,0.09456781800896293,-7.175397620799087,0.5622494760107685,-0.13506416806319477,0.12155414865455261,127
Achilles_11012013,35,left,176.0,232.0,214.0,56.0,12.671393837332486,1.13129453060823,895,0.1587884110995743,-4.54902616239802,4.997423751588841,-0.2558293860288261,3.397282455352979e-14,895
Achilles_11012013,39,left,256.0,292.0,274.0,36.0,16.455744049248743,1.037855778562621,753,0.08846512049839311,-6.886371096668827,0.3140116560601556,0.12282646221594923,0.0005800344225466159,753
Achilles_11012013,44,left,36.0,72.0,58.0,36.0,6.349784465678,0.6705512783604513,135,0.1197146660485466,-4.347964232568273,5.678063525872149,-0.33648974396507897,0.00011462645944027017,135
Achilles_11012013,50,left,132.0,168.0,150.0,36.0,12.203316411139957,2.0794933554273887,465,0.2063047151711267,-5.01398187512931,5.36554577304691,-0.39162642662634284,0.0,465
Achilles_11012013,52,left,144.0,176.0,158.0,32.0,8.512168631690354,1.642438321418769,350,0.07559555652770464,-5.001415504514951,4.990532992377522,-0.42394013865768504,2.886579864025407e-15,350
Achilles_11012013,53,left,232.0,272.0,250.0,40.0,5.516936133200491,1.5367328599515189,274,0.12969831817917024,-4.310265120725195,5.674043810300734,-0.4362894609142794,5.360156762890256e-13,274
Achilles_11012013,55,left,232.0,268.0,246.0,36.0,4.703284764151395,1.970447062184351,187,0.12079630387984207,-5.01398187512931,5.845070430524942,-0.29449095840226425,8.621361352001422e-05,187
Achilles_11012013,56,left,168.0,216.0,194.0,48.0,16.761878485543303,0.6672337740597211,1014,0.03344247681024374,-5.592034923389831,5.718590464421031,-0.11770816919767696,0.00017166826983472383,1014
Achilles_11012013,57,left,140.0,188.0,166.0,48.0,14.590766744993093,1.3430614368074703,944,0.00451532614241557,-5.328141140488288,5.1094769202096835,-0.3951939385355934,0.0,944
Achilles_11012013,60,left,56.0,100.0,78.0,44.0,35.15381066328045,3.1338278849904935,1083,0.17487163930249433,-4.812919945299563,5.501399552705989,-0.46798743000641013,0.0,1083
