session,unit,cell_type,channel,theta_delta,n_spikes,rate,mrl,ppc,pref,p_rayleigh,mrl_null_mean,p_shuffle,sig
Achilles-11012013,21,excitatory,115,9.129317340045104,2816,0.673970376647268,0.06457188663059006,0.0038157699386085655,5.882524203415576,7.87697947405039e-06,0.016937235051426806,0.004975124378109453,True
Achilles-11012013,22,excitatory,115,9.129317340045104,1735,0.4873160458198134,0.1442731133725269,0.020250033855375126,4.207733301407206,1.7305984629453906e-16,0.023488548499908765,0.004975124378109453,True
Achilles-11012013,23,excitatory,115,9.129317340045104,631,0.2778383976643272,0.1781465937433352,0.030199282209753476,3.758933106917777,1.7376000174611192e-09,0.032828901530788074,0.004975124378109453,True
Achilles-11012013,24,excitatory,115,9.129317340045104,1494,0.807361200169711,0.10050399060851664,0.00943802537145732,4.341222305965692,2.7017745624614633e-07,0.022485323075480252,0.004975124378109453,True
Achilles-11012013,25,excitatory,115,9.129317340045104,3369,0.43771082143580214,0.13415548292907892,0.017706125219174272,4.1708406072671576,3.5586685403431495e-27,0.01445836745109236,0.004975124378109453,True
Achilles-11012013,26,excitatory,115,9.129317340045104,1920,0.3758476192045586,0.08414789269753759,0.006563452977195255,3.7535231679975043,1.2209760192374964e-06,0.019831215332179936,0.004975124378109453,True
Achilles-11012013,27,excitatory,115,9.129317340045104,2484,0.5466129898825941,0.07044062106886868,0.004561140815092541,5.246030079350098,4.381365303760884e-06,0.01768408334380176,0.004975124378109453,True
Achilles-11012013,28,inhibitory,115,9.129317340045104,99594,19.960356034304304,0.08439226872887415,0.007112085666482996,2.1413007513333238,2.511713932140754e-309,0.0029591734794535596,0.004975124378109453,True
Achilles-11012013,29,excitatory,115,9.129317340045104,1721,0.5581884522594904,0.2302479453739865,0.05246354316077304,4.690217188310042,7.056322848691303e-41,0.022529172804246645,0.004975124378109453,True
Achilles-11012013,30,excitatory,115,9.129317340045104,1665,0.5832231197114103,0.05610686766649885,0.002548910876148505,4.495521302296565,0.0052794048334213655,0.020832712057029083,0.004975124378109453,True
Achilles-11012013,31,excitatory,115,9.129317340045104,369,0.41887339445453203,0.08346926636325169,0.004268659509902122,3.6339011044434657,0.0763930813411411,0.04686079968666812,0.0845771144278607,False
Achilles-11012013,32,excitatory,115,9.129317340045104,513,0.4070249258895013,0.07663018827939627,0.003930529868539893,1.9061963401050144,0.04909880851709632,0.03884925209344912,0.04477611940298507,False
Achilles-11012013,33,excitatory,115,9.129317340045104,1831,0.9325072368104967,0.2241006634358277,0.04970210249300784,4.888252056752847,3.642896978220535e-41,0.021053722500808572,0.004975124378109453,True
Achilles-11012013,34,excitatory,115,9.129317340045104,1447,1.9238200065451323,0.06463394352863878,0.0034888727602514166,1.8995648606461406,0.0023598862941560613,0.02495510632778683,0.009950248756218905,True
Achilles-11012013,35,excitatory,115,9.129317340045104,595,0.4847497876513505,0.08604596188839268,0.005732870364634246,4.35298274137996,0.012157731391681166,0.03753501542851703,0.009950248756218905,True
Achilles-11012013,36,excitatory,115,9.129317340045104,2560,0.27232367266401336,0.15926757702114502,0.024985295971425202,4.102217419605743,4.1929817888544817e-29,0.018249007086241813,0.004975124378109453,True
Achilles-11012013,37,excitatory,115,9.129317340045104,253,0.2555337920937509,0.0997031683363399,0.006011915116686692,1.4843386609738716,0.0807589627685126,0.05744132789876871,0.09950248756218906,False
Achilles-11012013,38,inhibitory,115,9.129317340045104,297,2.0449801528391562,0.07144648859379862,0.0017434676267499582,3.007806806031475,0.21970966496802588,0.050669762759489353,0.208955223880597,False
Achilles-11012013,39,inhibitory,115,9.129317340045104,58216,22.093762891480175,0.1969108411769854,0.03875736771588415,1.6639831240889489,0.0,0.003532133107159875,0.004975124378109453,True
Achilles-11012013,40,excitatory,115,9.129317340045104,4072,1.8304518902031848,0.11133616926688686,0.01215314758397576,5.5003169876863645,1.0307289666872836e-22,0.013250544686624273,0.004975124378109453,True
Achilles-11012013,41,inhibitory,115,9.129317340045104,68766,18.395757570106348,0.07465517391192515,0.005558933760015702,2.6563193036899717,2.0936743983256898e-167,0.0035269638065608677,0.004975124378109453,True
Achilles-11012013,43,excitatory,115,9.129317340045104,2372,1.371856095375105,0.07476181820274574,0.0051699238639584645,4.447565494984516,1.719183183426213e-06,0.01861240158095087,0.004975124378109453,True
Achilles-11012013,44,excitatory,115,9.129317340045104,2160,0.48570530930982075,0.1003616714210953,0.009613953031654254,5.24634731560475,3.3849415241164416e-10,0.019222616933843514,0.004975124378109453,True
Achilles-11012013,45,excitatory,115,9.129317340045104,2034,0.2855644727885293,0.09846692467884538,0.009208620516533664,4.545441955584341,2.6090512968211257e-09,0.019056919670191564,0.004975124378109453,True
Achilles-11012013,46,excitatory,115,9.129317340045104,797,0.3103534346711282,0.07442224029513457,0.004289346571464524,2.3047764514633844,0.012062303764633036,0.03211315103023067,0.024875621890547265,True
Achilles-11012013,47,excitatory,115,9.129317340045104,1306,0.3147215336812778,0.3437618224476775,0.11749646045038191,4.647656305511537,7.864648937434917e-70,0.024988785347447084,0.004975124378109453,True
Achilles-11012013,48,excitatory,115,9.129317340045104,3465,1.0293971329793772,0.09849480949075062,0.009415344479152925,4.590430770573132,2.3326026124734635e-15,0.015466491123646392,0.004975124378109453,True
Achilles-11012013,49,inhibitory,115,9.129317340045104,37485,8.153766618533355,0.4486043478194513,0.20122455168021244,4.911345192051975,0.0,0.0046370066327624275,0.004975124378109453,True
