event,epoch,start,end,dur,n_bins,n_active,n_spikes,direction,dir_mass,wcorr,slope,p_cycle,p_perm,p_max,significant,forward,speed
4509,POST_NREM,30052.40695,30052.53695,0.13000000000101863,6,23,34,rightward,0.4601355016062157,-0.23385758261812245,-3.1217051791329298,0.6733266733266733,0.7262737262737263,0.7262737262737263,False,False,3.1217051791329298
4510,POST_NREM,30052.57195,30052.94195,0.36999999999898137,18,43,98,rightward,0.38433752012711253,0.03193011068145493,0.1308442066188925,0.974025974025974,0.9820179820179821,0.9820179820179821,False,True,0.1308442066188925
4511,POST_NREM,30056.12695,30056.42695,0.2999999999992724,15,23,46,rightward,0.5734357848987404,-0.327074901227968,-1.7540397300803499,0.12087912087912088,0.15984015984015984,0.15984015984015984,False,False,1.7540397300803499
4512,POST_NREM,30060.49195,30060.69195,0.2000000000007276,10,23,45,rightward,0.5674982232865524,-0.39719690488366083,-2.652214346066446,0.06693306693306693,0.18581418581418582,0.18581418581418582,False,False,2.652214346066446
4513,POST_NREM,30062.40695,30062.54195,0.1349999999983993,7,20,29,leftward,0.4019014484200835,-0.308530869054357,-3.339128418413274,0.24475524475524477,0.4785214785214785,0.4785214785214785,False,True,3.339128418413274
4514,POST_NREM,30064.89195,30065.14195,0.25,12,37,64,rightward,0.5597823509751533,0.4284217641237438,3.7491930153401056,0.04895104895104895,0.15384615384615385,0.15384615384615385,False,True,3.7491930153401056
4515,POST_NREM,30065.17695,30065.28195,0.10499999999956344,5,22,31,leftward,0.3048045913623523,0.5113448354561859,11.084542291951019,0.08791208791208792,0.5494505494505495,0.5494505494505495,False,False,11.084542291951019
4516,POST_NREM,30068.26195,30068.38695,0.125,6,15,23,rightward,0.4509306217669633,-0.2067572706039924,-2.502256890610849,0.34065934065934067,0.7082917082917083,0.7082917082917083,False,False,2.502256890610849
4517,POST_NREM,30071.06695,30071.20195,0.1349999999983993,7,23,35,leftward,0.6505069315866697,0.24803363701876263,1.671930630030418,0.4015984015984016,0.35764235764235763,0.4015984015984016,False,False,1.671930630030418
4518,POST_NREM,30081.99695,30082.30695,0.3099999999976717,15,45,76,rightward,0.704181584746996,0.3344310260760303,1.8292614599468087,0.12787212787212787,0.2007992007992008,0.2007992007992008,False,True,1.8292614599468087
4519,POST_NREM,30083.23695,30083.43695,0.2000000000007276,10,22,36,leftward,0.4001662251652798,0.33862428291949975,2.8844733964520564,0.03996003996003996,0.11688311688311688,0.11688311688311688,False,False,2.8844733964520564
4520,POST_NREM,30083.69195,30083.85695,0.16500000000087311,8,27,40,leftward,0.44989186292819583,-0.3705818947967506,-3.0770667213851537,0.18281718281718282,0.3086913086913087,0.3086913086913087,False,True,3.0770667213851537
4521,POST_NREM,30091.23695,30091.54695,0.3100000000013097,15,28,58,leftward,0.6770099425559447,0.4097567641323917,1.9667537137341504,0.002997002997002997,0.04595404595404595,0.04595404595404595,True,False,1.9667537137341504
4522,POST_NREM,30091.96695,30092.19695,0.22999999999956344,11,40,65,leftward,0.5254424938312874,0.5328365523282185,4.116274480437497,0.007992007992007992,0.052947052947052944,0.052947052947052944,False,False,4.116274480437497
4523,POST_NREM,30117.14695,30117.24195,0.09500000000116415,5,16,26,rightward,0.3168448169261593,0.057943344878867084,1.1306653402101718,0.9560439560439561,0.9920079920079921,0.9920079920079921,False,True,1.1306653402101718
4524,POST_NREM,30130.50695,30130.73695,0.22999999999956344,11,42,94,rightward,0.37344480720580453,0.198128366517727,1.5270754829082396,0.6213786213786214,0.7882117882117882,0.7882117882117882,False,True,1.5270754829082396
4525,POST_NREM,30135.67195,30136.03195,0.3600000000005821,18,36,63,rightward,0.6666941937231466,0.16877100346633023,0.7819953234875083,0.3886113886113886,0.6113886113886113,0.6113886113886113,False,True,0.7819953234875083
