uid,n_spikes,R,pref_phase,p_rayleigh,cell_type,location,significant,R_null_mean,p_shuffle
210,582,0.08242738297971972,1.462190924523349,0.01917271400007557,excitatory,rCA1,True,0.04372494932048193,0.0594059405940594
211,801,0.03797523808766536,1.349619925259202,0.31501435021385077,excitatory,rCA1,False,0.03647690086660426,0.40594059405940597
214,6773,0.011658266409485283,1.4386636366017762,0.3982985278663749,inhibitory,rCA1,False,0.013148844063020502,0.5544554455445545
215,1076,0.11052133069590765,2.754983176365614,1.9585584427038746e-06,excitatory,rCA1,True,0.03706566579453311,0.009900990099009901
216,1160,0.32217064543035756,1.2899683655590053,5.134883662596769e-53,excitatory,rCA1,True,0.03607606237561231,0.009900990099009901
217,1438,0.21055989034748304,2.0106378416063575,2.0502883654933386e-28,excitatory,rCA1,True,0.032270323974083685,0.009900990099009901
219,758,0.06054111566955079,3.036597154030911,0.06214767766245453,excitatory,rCA1,False,0.041662002288678474,0.19801980198019803
220,367,0.03451628823393061,-0.13920554626452994,0.645820088788512,excitatory,rCA1,False,0.05567183649641582,0.7227722772277227
221,766,0.11613923400471876,-1.563926679928362,3.257210198810865e-05,excitatory,rCA1,True,0.04609208401912961,0.009900990099009901
222,2072,0.0637919679956097,-1.417963446540775,0.00021782289044630404,excitatory,rCA1,True,0.022197366709369084,0.019801980198019802
225,617,0.24641572237592935,-1.397516265448597,5.3616384025350464e-17,excitatory,rCA1,True,0.0411912247053309,0.009900990099009901
229,1660,0.07150354594044701,-1.7531989867860605,0.00020609429396393155,excitatory,rCA1,True,0.024336315894968347,0.009900990099009901
236,349,0.18366001175732669,-2.3471466544107984,7.716736846005224e-06,excitatory,rCA1,True,0.056045099396344424,0.009900990099009901
237,1382,0.07557956116826149,-1.9771777257558272,0.0003728414738485717,excitatory,rCA1,True,0.02989742825359554,0.009900990099009901
238,1024,0.14415906600020092,-2.87158097161817,5.72733627089028e-10,excitatory,rCA1,True,0.030728215214401847,0.009900990099009901
240,2672,0.07727899386434917,-1.674287065954536,1.1744465809429776e-07,excitatory,rCA1,True,0.018567631559659296,0.009900990099009901
241,1093,0.2639558515566207,3.1269803015368227,8.462471536235817e-34,excitatory,rCA1,True,0.03599245654135187,0.009900990099009901
242,829,0.09055748688388869,-3.1301170834012573,0.0011156190358006734,excitatory,rCA1,True,0.03821842318916974,0.009900990099009901
250,41964,0.2642498068555302,1.778848059251513,0.0,inhibitory,rCA1,True,0.0071679760900494605,0.009900990099009901
253,579,0.1110679772893498,2.8150643077867237,0.0007906941397968795,excitatory,rCA1,True,0.047478000062857635,0.019801980198019802
255,1984,0.190705909628193,-2.405588496449577,4.604964428092042e-32,excitatory,rCA1,True,0.02495256885506273,0.009900990099009901
256,12065,0.49357707523633443,1.8520543006696255,0.0,inhibitory,rCA1,True,0.011625553188039352,0.009900990099009901
257,3018,0.09988864779107967,-2.3188448531671875,8.359227964515151e-14,excitatory,rCA1,True,0.018353500428441912,0.009900990099009901
258,2186,0.16650234304206712,-1.42314396352871,4.793464412935281e-27,excitatory,rCA1,True,0.021801368025439936,0.009900990099009901
259,5061,0.04669042324712278,-3.016849762599935,1.6160220696870153e-05,excitatory,rCA1,True,0.016370986105795654,0.009900990099009901
263,2232,0.17255270606934636,0.7538396627960939,1.374961478168551e-29,excitatory,rCA1,True,0.025941995444575316,0.009900990099009901
264,240,0.056520433169162713,2.9912163507989726,0.46454620749602094,excitatory,rCA1,False,0.06660201096546246,0.5643564356435643
266,913,0.13906593546130713,-1.7613547885723924,2.1465640156802358e-08,excitatory,rCA1,True,0.04308223697194733,0.009900990099009901
267,2839,0.2512385601196247,2.293108813659882,1.494282336688932e-78,inhibitory,rCA1,True,0.018305198642830513,0.009900990099009901
268,2184,0.10541127395936845,-2.678207800736629,2.8887963248008416e-11,excitatory,rCA1,True,0.025250980825510437,0.009900990099009901
269,682,0.05866383068722729,3.125689089286594,0.09564943299061365,excitatory,rCA1,False,0.03620098273371938,0.13861386138613863
270,539,0.09564599178076903,-2.5791168267316475,0.007220320432216342,excitatory,rCA1,True,0.04207689528613948,0.0297029702970297
271,170,0.05905134373453087,-2.91520935259686,0.5527771162471894,excitatory,rCA1,False,0.06775040388831208,0.5544554455445545
272,904,0.08299826159708698,2.541363835070324,0.0019745887482670865,excitatory,rCA1,True,0.03132885390367726,0.009900990099009901
