unit,cell_type,location,si_rightward,si_z_rightward,p_rightward,peak_rate_rightward,peak_pos_rightward,mean_rate_rightward,sparsity_rightward,width_rightward,contrast_rightward,participation_rightward,stability_rightward,n_spikes_rightward,si_leftward,si_z_leftward,p_leftward,peak_rate_leftward,peak_pos_leftward,mean_rate_leftward,sparsity_leftward,width_leftward,contrast_leftward,participation_leftward,stability_leftward,n_spikes_leftward,is_place_cell
148,excitatory,rCA1,0.614892999917052,24.237197460776468,0.0,7.732054464276409,158.0,2.3112801865443275,0.5187050586372414,36.0,3.794422211706972,0.9210526315789473,0.9638058983001743,231.0,0.39004618797054924,8.499827947266741,0.0,2.4633707571825694,38.0,1.1100311942203023,0.6855337647407495,48.0,2.7020344928431164,0.7317073170731707,0.646334729462481,103.0,True
151,excitatory,rCA1,0.6901385977371792,18.22597124203096,0.0,7.83356889274539,158.0,1.401571830674564,0.4098565376113577,16.0,7.164569762385597,0.7297297297297297,0.9447064864530774,143.0,0.6475019238340776,5.180216091321911,0.0,0.8001213908667208,118.0,0.2839830723869536,0.5654226035187966,24.0,2.6995894749864924,0.17073170731707318,0.6411390499539562,26.0,True
161,excitatory,rCA1,0.39091688383575157,10.400412607401536,0.0,4.085490359367162,114.0,1.8914438730761511,0.6705597602658729,80.0,3.9412914810700115,0.9487179487179487,0.8242748302977013,189.0,0.20747189784472062,1.892785242634671,0.04095904095904096,1.4554439766150462,18.0,0.6931091881084718,0.7719674331262364,28.0,2.308657983316503,0.2926829268292683,0.6467575928921455,64.0,True
163,excitatory,rCA1,0.5708490393798816,22.393108743976192,0.0,5.3651228375527475,2.0,1.3843005047997878,0.5014751785753732,12.0,5.644216066867172,0.8285714285714286,0.9394316683751771,140.0,0.43044855043618446,17.430149280452763,0.0,5.507568969657618,118.0,2.028026111570407,0.6219567516426091,44.0,3.4752954691540667,0.9024390243902439,0.9067402297428806,188.0,True
168,inhibitory,rCA1,0.06204909296534384,28.70375485068213,0.0,53.023520832160706,86.0,33.583536311027515,0.9200495448160159,108.0,1.6849384622071082,1.0,0.9726717489050597,3372.0,0.01066516998863836,8.846011317489388,0.0,31.51966988730839,18.0,24.4847425940539,0.9850575292627847,160.0,,1.0,0.9104676862969086,2285.0,False
169,excitatory,rCA1,1.1561852433536488,1.6596265310612464,0.06493506493506493,0.3195400880770313,102.0,0.06540398132345546,0.37746217657392445,16.0,6.422717677292735,0.07692307692307693,0.7287083827533566,7.0,0.43171241255707016,3.6174028802574107,0.0,1.1631063679837497,2.0,0.36748744856360466,0.5953424862250053,8.0,3.0700993110230534,0.04878048780487805,0.6829718534965905,34.0,False
171,excitatory,rCA1,0.38696625072533625,-1.0039258542319451,0.8691308691308691,0.2395293950341852,2.0,0.10991217509575348,0.6927277552656259,36.0,2.7726952202630324,0.1388888888888889,-0.09703382326508958,11.0,0.9637984877235379,9.118972384436484,0.0,1.9054312442187487,158.0,0.5406402730641463,0.424826736114339,12.0,3.2192394766332275,0.1111111111111111,0.7674628817226183,51.0,True
172,excitatory,rCA1,1.0447020094311545,-0.6490463936497932,0.7242757242757243,0.14231869829794497,150.0,0.039174306949301435,0.4387475393418994,12.0,3.8135144269972816,0.02702702702702703,-0.16230722716250703,4.0,1.1833170495768852,1.8487169783734247,0.05194805194805195,0.5234619073866658,106.0,0.12624203531349598,0.4005172641408096,36.0,5.924251233402767,0.0975609756097561,0.7739224297406616,12.0,False
173,excitatory,rCA1,1.525142159344616,-0.09714080240175867,0.5034965034965035,0.12556616266366147,62.0,0.02936638330563351,0.3073693582645471,24.0,6.310679527996292,0.05128205128205128,,3.0,1.3410432677216693,15.698351790555115,0.0,19.12486323069675,66.0,4.661362817026081,0.3367877621340432,40.0,12.782698764953086,0.9512195121951219,0.9981607689169844,435.0,True
175,excitatory,rCA1,1.1833624943218948,34.35080473340879,0.0,20.578769895676256,22.0,5.718333347964515,0.38035255506501164,32.0,13.74333649002677,1.0,0.9767496053427146,577.0,1.6219143830284375,4.204290990347683,0.0,1.0489022945624096,2.0,0.16646582699423165,0.2669697310758657,20.0,11.77921324348123,0.0975609756097561,0.8780662719045244,15.0,True
