unit,direction,k,si,si_z,p,peak_rate,peak_pos,mean_rate,width,sparsity,contrast,participation,stability,n_spikes
12,leftward,6,0.37658637323942074,10.80082017137619,0.0,3.223323302909206,74.0,1.2816046244090764,40.0,0.659942128344794,3.3681840938047944,0.7804878048780488,0.6651934206769288,119.0
16,leftward,8,0.48866733496818643,24.266171595253788,0.0,12.65250029624385,114.0,5.937770935523997,88.0,0.6382214282989406,5.974590034042896,1.0,0.9330836843705201,553.0
23,leftward,13,0.7316892781465744,13.097900532367724,0.0,4.8558741512665735,54.0,1.4763647066667378,28.0,0.49857833545672403,3.886417028740205,0.4146341463414634,0.839271707459635,139.0
27,leftward,14,0.5976661846864941,28.24251519842279,0.0,11.008730818967289,58.0,3.8028280437531867,40.0,0.5624662554355463,4.335049231976788,1.0,0.9683024384984787,355.0
33,leftward,17,0.677431882338924,28.193930058342925,0.0,16.33636819220124,2.0,4.021096782007967,24.0,0.4427036497932395,6.336556202540904,0.975609756097561,0.9711998170200052,377.0
39,leftward,18,0.19485439471415017,19.039987796913543,0.0,21.209661211915346,10.0,11.689255426233245,36.0,0.8067960370313074,1.9258581405053647,0.975609756097561,0.9503917464893099,1092.0
41,leftward,19,0.19724505336488868,6.02718099561708,0.0,3.41778196640467,2.0,1.1789353712988344,16.0,0.7463485190045094,2.9864899621944816,0.5365853658536586,0.6597155799849106,111.0
50,leftward,23,0.22798729257255446,13.584327086097689,0.0,28.73706495985044,74.0,14.578971534263799,100.0,0.781992317543585,2.9164134491377904,1.0,0.9470327428470263,1353.0
51,leftward,24,1.4211682173484115,15.713652667248507,0.0,15.90125236239711,74.0,2.8841564845354473,24.0,0.28218378795162913,10.827063477743904,0.9024390243902439,0.9910250220428073,267.0
53,leftward,26,0.355410502888698,4.861445704479293,0.0,1.760272822055039,26.0,0.653533463720823,40.0,0.6636200229249709,3.19269787195231,0.5609756097560976,0.555040940836505,61.0
54,leftward,27,0.27522610249668017,16.32070047817879,0.0,6.711498231094947,158.0,2.1340523405219844,20.0,0.6634251918010762,3.482321216345932,0.918918918918919,0.8658954754468656,200.0
57,leftward,30,0.9407720674754163,22.361768988838474,0.0,38.58986039887613,146.0,9.962065163090429,36.0,0.39501196050452086,8.533290627147535,1.0,0.9864165531369857,933.0
58,leftward,31,1.040944019037449,13.794938319733527,0.0,8.40466729270497,58.0,2.0689206312582207,32.0,0.37524672750952687,8.165913454584988,0.7560975609756098,0.9376469093129494,194.0
76,leftward,36,0.7036570274273825,22.149717642619205,0.0,4.633841050930732,158.0,1.0622831618349546,16.0,0.4515581773901078,5.4387109948594885,0.6944444444444444,0.935454655573683,101.0
82,leftward,39,0.9893266377674782,28.03756385337668,0.0,9.085814590845171,74.0,2.7284142548217836,44.0,0.42690579413939655,7.422106639439253,1.0,0.9865160072516361,255.0
86,leftward,42,0.5777538203225909,9.331500599968047,0.0,2.6492367338218474,158.0,0.7491488541944531,24.0,0.5114784812798775,4.848501361293432,0.5789473684210527,0.6914219149363262,70.0
94,leftward,48,0.7926512749659842,9.709164021877386,0.0,2.145987877304262,74.0,0.5711148282067475,36.0,0.4530551331358545,6.1719449654564755,0.5121951219512195,0.9507225247709528,54.0
98,leftward,52,1.6248375579852763,10.914716907010428,0.0,4.883886176785734,158.0,0.7932468535051778,20.0,0.2318670975477751,16.82495387295201,0.7027027027027027,0.9294488999005197,75.0
101,leftward,53,0.9261500866187259,21.357840343965446,0.0,19.491154098750364,30.0,5.306163546749448,36.0,0.42861708277999677,6.897936077664856,0.926829268292683,0.9399325079850682,494.0
