slope,phi0,rho,R,n,p,session,unit,direction,peak,si,lo,width,n_runs,n_passes,maze,track_len,circular
-0.7399999999999998,-1.4436831720840544,-0.03948425258619639,0.19735061236742804,1307,0.15920398009950248,Achilles-11012013,61,-1,18.25066006907013,1.5958997849682692,2.336111111111111,0.48,366,118,CircularMaze,2.9,True
1.21,0.495791703796306,0.15934303570542102,0.1451166425099539,156,0.10945273631840796,Achilles-11012013,62,-1,2.2702096255839956,0.6781651966765552,2.6986111111111106,0.68,366,76,CircularMaze,2.9,True
-0.6800000000000002,-2.1279191554654857,-0.331581346223777,0.3655287961836501,367,0.004975124378109453,Achilles-11012013,63,-1,7.589994557814113,1.3104983999129434,1.8930555555555553,0.36,366,82,CircularMaze,2.9,True
-1.84,-2.0442658391410675,0.11027485967756019,0.11037517006377695,224,0.24875621890547264,Achilles-11012013,64,-1,2.6338404571672993,0.997860765651903,2.5374999999999996,0.6,366,116,CircularMaze,2.9,True
-0.8999999999999999,-0.996671876233448,0.570893501125485,0.355722869989806,744,0.004975124378109453,Achilles-11012013,67,-1,16.07125309021443,1.8710542622677993,0.1611111111111111,0.36,366,57,CircularMaze,2.9,True
-1.1099999999999999,-0.16538418394542004,-0.011843487229548819,0.4327858216058612,73,0.945273631840796,Achilles-11012013,70,-1,1.7276653691726862,1.1212194967185256,1.2888888888888888,0.36,366,59,CircularMaze,2.9,True
-1.0,-0.3196883991700205,-0.35808426315234365,0.4639883695580511,438,0.004975124378109453,Achilles-11012013,72,-1,13.27205897064744,1.188657004482349,0.5638888888888889,0.36,366,91,CircularMaze,2.9,True
-0.6800000000000002,-1.7952285862071782,-0.47087079853570296,0.33347412271142257,647,0.004975124378109453,Achilles-11012013,73,-1,24.71288365285107,1.148048098437191,0.7652777777777777,0.32,366,89,CircularMaze,2.9,True
-0.5499999999999998,-2.6320159891635013,-0.16876580180583986,0.1469785486675873,1083,0.004975124378109453,Achilles-11012013,75,-1,23.6685967951071,1.7891228189615247,0.9666666666666666,0.44,366,106,CircularMaze,2.9,True
-0.77,-1.9165504512655516,-0.015456922128342102,0.24666642461050642,258,0.900497512437811,Achilles-11012013,76,-1,6.385865079198351,1.4545540906758998,0.24166666666666664,0.32,366,45,CircularMaze,2.9,True
-0.8999999999999999,-0.9953134592197453,0.1539604688852167,0.3637083967952496,577,0.004975124378109453,Achilles-11012013,78,-1,9.863103570193845,1.1859020736562162,1.8527777777777776,0.44,366,100,CircularMaze,2.9,True
-0.8500000000000001,0.11524926061113437,-0.014229659494772853,0.39191013194907953,147,0.835820895522388,Achilles-11012013,79,-1,2.0641465169965434,0.8788063223104047,2.5777777777777775,0.52,366,82,CircularMaze,2.9,True
-0.8700000000000001,-0.9802783555413204,-0.0986249595372844,0.2703795700049917,873,0.014925373134328358,Achilles-11012013,80,-1,16.58423501454446,1.9172559357677639,0.04027777777777777,0.44,366,96,CircularMaze,2.9,True
