,gOSI,OSI,pref_ori,gDSI,DSI,pref_dir,anova_F,anova_p,gOSI_p,gOSI_null_mean,peak_rate,mean_rate,area,session,responsive
sub-707296975_ses-721123822_950907398,0.061707834055339056,0.12992350230407265,95.92905287469418,,,,25.754949533396953,8.482785708733145e-26,0.001996007984031936,0.007960631721117363,17.558203442409656,15.136366547584279,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907402,0.10314714696945265,0.1500646383763173,9.837883847618395,,,,91.74257770397088,3.20973342579657e-93,0.001996007984031936,0.0068009050362249565,22.997677610318004,18.9477233284938,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907404,0.060342742447247674,0.10984204252085518,178.53417908215036,,,,24.217130911455484,3.344738017925619e-24,0.001996007984031936,0.008965653377859093,7.249397541817055,5.966557296082655,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907406,0.18212493342895963,0.30084697761612683,47.48512397275064,,,,177.6647837698512,1.9133045960453707e-176,0.001996007984031936,0.009158650607191307,17.45756496137781,12.26182268537938,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907408,0.09997290827528257,0.16445081326802788,9.77159313072753,,,,70.30376989730175,1.266063474786276e-71,0.001996007984031936,0.0067965830544864944,20.214012935918355,17.25382781778521,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907420,0.030146239370823703,0.036093996522886175,10.662089573424723,,,,6.453649173106425,5.455296724038056e-06,0.005988023952095809,0.011670342274584227,8.384741544490048,7.46009488373785,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907425,0.12583277655420644,0.26073408957625654,82.32605831559829,,,,27.821072811489692,6.085758241051302e-28,0.001996007984031936,0.014697532551995674,3.701215423477554,2.693658886567698,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907428,0.033816844042814605,0.02599099423369233,170.5997200419768,,,,9.721389978805304,2.91978126455567e-09,0.001996007984031936,0.011413676038204059,4.896318195209832,4.49366987084668,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907430,0.2996122655889069,0.4636013258003198,49.49576927790471,,,,287.8454764508376,7.28504184138722e-276,0.001996007984031936,0.013006812976256759,10.724168332065545,6.056771888761499,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907432,0.040252166350859216,0.08312546423388446,22.688824905400207,,,,7.086474841144316,1.2906790277852087e-06,0.001996007984031936,0.012184903735683933,6.45670503339633,5.690841167342499,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907434,0.03718310273183102,0.09277333904794148,23.243622968777427,,,,9.64808704845943,3.4640809994956773e-09,0.001996007984031936,0.008339240158592746,14.334407829760096,13.170594803057467,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907437,0.10947933216377614,0.20711387805012194,11.812820790703276,,,,23.46313040163769,2.0261378735507937e-23,0.001996007984031936,0.013257934994160165,6.7119167836322,5.329261430907799,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907439,0.06271026986467476,0.07990182637792353,8.130107447507026,,,,16.012413595857943,1.0499089901068592e-15,0.001996007984031936,0.010876254853737114,7.681543031095884,6.51067454088392,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907443,0.07834757889772279,0.06596448099322279,12.521160028984106,,,,10.473859588752838,5.031333502895629e-10,0.001996007984031936,0.02074714922351226,2.004293299873767,1.6853866896958516,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907445,0.125984465942234,0.2519134534113531,38.38858562475173,,,,58.59053533380212,1.0931737624836527e-59,0.001996007984031936,0.009739679281345974,8.640197921353145,6.780506292756087,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907451,0.22102977509165325,0.37180191680828234,169.8518044282857,,,,32.18523265600969,1.806186465499795e-32,0.001996007984031936,0.023925805483217828,2.3028543822730185,1.4361090713008258,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907457,0.1416757597421135,0.18793023224927358,16.519537256057212,,,,20.5951322497955,1.9084829747509104e-20,0.001996007984031936,0.017428938706937555,3.871636021506688,3.0530864377937426,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907463,0.14674795822142458,0.28435190537983807,97.81843394516247,,,,42.19222655249479,7.913497325211407e-43,0.001996007984031936,0.013630896614744772,4.669601117708885,3.321463942449409,VISam,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950907467,0.1796979384671528,0.2518703980757479,179.42214943531997,,,,22.14962752616702,4.667953032033148e-22,0.001996007984031936,0.026659542469486364,2.2452709549537246,1.439704493095009,VISam,sub-707296975_ses-721123822,True
