unit,mvl,mvl_tc,pref_dir,peak_rate,mean_rate,hd_info,p_shift,stability,author_hd,is_fs,is_exc,hd_cell
159,0.09313888721550964,0.09129562958273099,1.4692946302744518,39.54342815617108,25.40741478309934,0.03355226870928017,0.0,0.553153242090543,False,True,False,True
160,0.8750587715260191,0.8750886506389489,5.377034600113504,12.189790537534302,1.0488233927445318,2.241813887804219,0.0,0.9137263409554082,True,False,True,True
161,0.09486629458542495,0.0962687496689635,4.290052551405158,21.909702075810426,11.907132662882937,0.08362342912532914,0.1,0.2646583552452112,False,False,False,False
162,0.6033891013749317,0.6036018512338298,5.892218744734592,35.74241669236789,4.359033931870734,1.3111557835255012,0.0,0.9570736149483379,True,False,True,True
163,0.06965471973941834,0.07069452068991486,3.8158433303688164,38.88471340734084,24.27118944095943,0.028267122232230574,0.001,0.24959413351983167,False,True,False,False
164,0.05085037477161659,0.05151635900946171,6.202360420044354,73.05570686292465,44.48206047329815,0.03979744804028412,0.018,0.5624105318398844,False,True,False,False
165,0.4459846935487036,0.44547050351087436,2.2318988881663917,27.595809850745738,5.1749698518592275,1.0043484903728797,0.0,0.9054902363890144,True,False,True,True
166,0.7920581266062443,0.7924142384567538,5.998747860281575,28.20500438765147,2.1070507927024904,1.8030018948621718,0.0,0.917322708724471,True,False,True,True
167,0.7809232002569532,0.7807067976409774,6.064097943689772,31.869434091558947,2.2768760994390784,1.7271842715022747,0.0,0.9328124364707657,True,False,True,True
168,0.174575550451344,0.17693176233881247,5.382588784858586,62.53380300857635,29.41739409428347,0.08523222447136165,0.0,0.5334315500998797,False,True,False,True
169,0.7078850654636155,0.708155233084978,5.358228981782858,15.884944220555067,2.3581931029904744,1.272124449355446,0.0,0.7831194712893345,True,False,True,True
170,0.8517683240757551,0.8536604389126135,4.602612948994272,41.753487192280716,5.864228262913914,1.7906120018501626,0.0,0.9396631612519601,True,False,True,True
171,0.6013680923345462,0.601496091654492,5.875032824434694,16.924389360955654,2.88260479936274,1.2403687467064588,0.0,0.8814878074154062,True,False,True,True
172,0.048623498871457844,0.05076086435305441,4.439267976999302,31.23093497648416,21.26411984024251,0.020354209832770705,0.026,0.1222294578297384,False,True,False,False
173,0.7454896580905954,0.7371295642024014,3.300081998609954,23.118735739366993,2.929071658534966,1.6188313138047192,0.0,0.9105307822963238,True,False,True,True
174,0.6586296412907838,0.6586440883951508,6.225630580323058,28.068732973498467,4.418777036520739,1.1641899030320264,0.0,0.9021529997231689,True,False,True,True
175,0.2619982236444222,0.26197127281847854,1.002466553211225,16.545455329764053,3.488886676181309,0.6467693237586614,0.0,0.7740597157670744,True,False,True,True
176,0.3804057004062507,0.3788895012244412,2.8520876018001045,22.29408281398254,6.021330501067632,0.6636419327840373,0.0,0.8484885635509769,True,False,True,True
177,0.9641802150547439,0.9641802150547432,2.5383751459924953,17.03220915008259,1.6313186630820804,2.5340596511737106,0.0,0.9391221835910788,True,False,True,True
178,0.6540860434407046,0.6536737776470285,1.0201844829075655,17.46662231929077,2.4975936805071526,1.2955206497433718,0.0,0.905434314095825,True,False,True,True
