unit,mvl,mvl_tc,pref_dir,peak_rate,mean_rate,hd_info,p_shift,stability,hd_cell,author_hd,is_fs,is_exc,session
80,0.085961421148536,0.06914054158693517,1.4613108206710144,24.429330688672277,7.237323724481969,0.05473958916587414,0.018,0.054597454456337874,False,False,False,False,A1808
81,0.06483759949050373,0.06640122035931513,5.504755657306956,15.70456972843218,6.554578012738742,0.09478195292442257,0.514,0.27891032747132394,False,False,False,False,A1808
82,0.09973366019066406,0.10119185708545073,3.8398550150062647,13.305260464366153,5.582514696019253,0.05517609457119668,0.018,0.11139011479290656,False,False,False,False,A1808
83,0.02048796365586157,0.02658665437280685,5.1344254825540965,2.1533166773310053,0.9150765157393161,0.17076833250434909,0.944,-0.07262985073296692,False,False,False,False,A1808
84,0.21624478850530382,0.2127101759434006,0.6971408001594179,44.95433084763712,21.40950276824345,0.11485572772978386,0.0,0.607595911523093,True,False,False,False,A1808
85,0.11595797014384533,0.1174047915365647,3.748715634383831,51.03985161740458,26.037488547844806,0.07142897235333981,0.0,0.46776304116886575,False,False,True,False,A1808
86,0.10250213486675526,0.10286889183160239,5.859747139993082,2.5049777581431583,1.1627499199992988,0.12057148801410579,0.198,-0.06483042714535686,False,False,False,False,A1808
87,0.044725786286915155,0.046818423677478765,4.138964662385888,88.33820472243102,49.47878995103519,0.05197416605291687,0.014,0.6069797075758637,False,False,True,False,A1808
88,0.06592892028139323,0.06658714568817733,0.5841598929981078,9.159138718068686,4.451545876566589,0.06753992142620441,0.3,-0.22391724397248192,False,False,False,False,A1808
89,0.13735540927392825,0.14381350121677322,4.208433209150894,1.1924225689028412,0.31013970533440294,0.6286133999495371,0.394,0.021642424379557736,False,False,False,False,A1808
90,0.7696833249355469,0.7292610594916246,0.13948734616459507,20.541522004192704,1.8696054321572135,1.8491840136336426,0.0,0.8996273257624415,True,True,False,True,A1808
91,0.9531400017051636,0.8967819590787587,6.133811873386595,23.829003099664934,2.2323483383963914,2.617612644160518,0.0,0.8627826191896277,True,True,False,True,A1808
92,0.052304816629065026,0.052858038613951296,3.723437198985161,9.379118032258107,3.3435909575097646,0.09659525389861648,0.508,-0.0495635287223152,False,False,False,False,A1808
93,0.2108806997244012,0.2166835198658789,0.03678076007068012,9.020485674728024,3.182493654738891,0.2555588423494754,0.002,0.2725928426206943,False,False,False,False,A1808
94,0.030438595051855106,0.03196127091496058,5.690536637798766,1.2023893239087158,0.223563603845294,0.7270676580924991,0.992,0.020999982722471427,False,False,False,False,A1808
95,0.0779775040423633,0.08128574613821404,3.55906043938861,13.959617536384158,5.7885438995629555,0.04789680807201946,0.044,0.014293243134304695,False,False,False,False,A1808
96,0.9605170201485165,0.9607421275547653,4.393065134250554,24.248869820947654,2.064675635512421,2.7792707808790906,0.0,0.9698274396121553,True,True,False,True,A1808
97,0.14961206402747923,0.14272864836669027,4.086926959772702,8.737479270677767,3.118931453645621,0.21181244072444988,0.056,0.16997142232872137,False,False,False,False,A1808
98,0.09238801275837825,0.0797068524420263,2.137423834113993,25.738044832708294,6.402247910118664,0.0869434165931414,0.166,0.16304547993737356,False,False,False,False,A1808
99,0.15408036947661177,0.15429733920218971,5.424569981342154,5.625943654194396,1.7172753295371357,0.26800932036325165,0.182,0.26989619545015475,False,False,False,True,A1808
100,0.14384294332961622,0.14363191237846548,2.8626752691875157,13.109605525889007,5.739228398714729,0.10242592242969109,0.008,0.4309211269224622,False,False,False,False,A1808
0,0.012909945600075284,0.015806439907813007,2.325458412036449,53.968347898127085,31.66227166123528,0.020401898364272295,0.868,0.044759799128550146,False,False,False,False,A1813
1,0.9311462886796548,0.9312662684311673,3.5065201793930694,12.562329241382216,0.7619288891959635,2.839530181864594,0.0,0.8160415874128061,True,True,False,True,A1813
2,0.12292536815557942,0.12653522087017052,2.977752608101148,44.055717033531515,17.598254280812057,0.15828403039410466,0.018,0.4049210103520982,False,False,True,False,A1813
3,0.5832699887456083,0.5715205753913511,6.061910374905683,4.521271747091897,0.9797599444194945,0.7805898346657333,0.0,0.6406805165945959,True,True,False,True,A1813
4,0.30842371641741606,0.30817603879835376,1.712176113844739,4.974891848717831,1.4326950019767928,0.3111748801803367,0.0,0.5347684127793458,True,False,False,False,A1813
5,0.09621043304559186,0.09162207871320414,0.7612299541381113,13.526735374569087,7.781462673161294,0.08002012455594791,0.002,-0.008594080879567326,False,False,False,False,A1813
6,0.2638112677092927,0.26355700474157084,3.2645321992718963,24.095451585681335,7.015695351274167,0.23430366990082752,0.0,0.7040791358695933,True,True,False,True,A1813
7,0.8808642077760136,0.880530915893443,1.374192647015295,13.738090614796729,2.2080584055918284,1.5643539354162623,0.0,0.9445172801021804,True,False,False,False,A1813
