unit,area,b0,gain,pd_rad,pd_deg,r2,best_lag
95,M1,3.137475297459305,0.4765605287321127,1.526314429601383,87.45137502607686,-0.003572701589895866,0.1999999999999998
96,M1,1.0105907961323013,1.351772159526033,0.5226723729663231,29.946921039057976,0.0004962525885123803,0.13999999999999982
97,M1,7.141684912104225,0.9826886608575033,0.8800054993580115,50.420601061516535,-0.0017075748809534108,-0.2
98,M1,1.7048830431210416,3.7552379061332744,-0.3133881220127381,342.04418325913923,-0.001519687434874406,0.1999999999999998
99,M1,1.594473686238066,0.9365511104133778,-0.9813625592380388,303.77206718350317,-0.0010298028431017237,-0.2
100,M1,11.884986868765688,10.368879126931336,-0.5944383768813583,325.94118982409117,0.005886501710736236,0.05999999999999986
101,M1,9.039322868791203,10.205601932043626,0.7263328457160929,41.6158065812589,0.0028583117367290134,0.09999999999999984
102,M1,1.8869483658447692,3.4729559882620875,-1.8629047122310771,253.26342235412613,0.0056524647021228835,0.09999999999999984
103,M1,3.2918194777812726,3.2691508945806613,1.3431744690359286,76.95822822548399,0.002151117685345705,-0.10000000000000006
104,M1,11.024262804732759,11.47272088152416,0.9412144550696393,53.92761589219598,0.006368619645704565,-0.06000000000000008
105,M1,2.0298468567776062,4.530798145205294,1.0922600869488515,62.58189311276152,0.0021879320921418532,0.05999999999999986
106,M1,0.1973702542747477,1.983931317370307,1.687419104373849,96.68199295036689,0.0041134278283200265,0.03999999999999987
107,M1,1.056029815945204,0.22053320145862068,2.087751859197656,119.6193702026166,-0.00012599228802390172,0.2999999999999997
108,M1,4.301844536842951,2.1250458078134997,2.214897391837461,126.90427260682026,0.001934591335896907,0.11999999999999983
109,M1,0.9095351965182464,1.7524414797666037,0.3297741312896726,18.89466591549134,0.0035059169414692892,0.13999999999999982
110,M1,1.9634222121361091,4.8684257381273675,-2.2595027957741833,230.54002600412932,0.004932745148867657,0.21999999999999978
111,M1,0.28323862007157674,0.22234823331162998,-2.154322128193594,236.56643434286556,-0.002388610777004141,-0.2
112,M1,0.7720784098031236,1.1303151413317907,-0.7904001096020171,314.7134095931267,0.0031794973778621616,-0.18000000000000002
113,M1,2.9574034981237607,2.864028476618368,1.2675519805278437,72.62537879769415,-0.0020716972267849076,0.05999999999999986
114,M1,2.12508228728972,3.71836216008013,-0.9053842069958898,308.1253061013366,0.00017979321443462037,-0.18000000000000002
115,M1,0.5794130877014165,0.2822795146903318,0.5886422500451305,33.72671657067047,0.0004000953602558699,0.23999999999999977
116,M1,0.6723983707488551,1.0909558673950026,-1.258910493434813,287.8697419414533,-0.002051622044378032,-0.08000000000000007
