unit,cell_type,location,n_spikes,rate,mrl,rayleigh_p,pref_phase,mrl_control
214,inhibitory,rCA1,7911,6.9570344598333165,0.018674358186670226,0.06336674307812287,0.9562177868756703,0.015535388591580386
215,excitatory,rCA1,1120,0.9849423075481373,0.10640528230696027,3.1104778465646123e-06,2.7204719870560052,0.04210261341763013
216,excitatory,rCA1,1331,1.1704984029880097,0.2966189374058672,1.3864421919746957e-51,1.2451572012755012,0.01744519685001329
217,excitatory,rCA1,1570,1.3806780561165852,0.18862437753516198,5.5033264473431355e-25,2.1142739094435568,0.04379687784080661
219,excitatory,rCA1,805,0.7079272835502237,0.049785617580019544,0.13597568270837038,3.024979102765788,0.006773719240696036
220,excitatory,rCA1,384,0.3376945054450756,0.02598320016411852,0.7716311336814696,-0.3263274335051902,0.09915055452148348
221,excitatory,rCA1,893,0.7853156077147202,0.08696444774224012,0.0011666790933091745,-1.488374094773951,0.018620507545746394
222,excitatory,rCA1,2202,1.9364669296616057,0.08202834124540712,3.675212907435943e-07,-1.538123525147415,0.022483336225882663
225,excitatory,rCA1,687,0.6041565761478306,0.23761561407302917,1.4263459377358357e-17,-1.481586046533962,0.0176337696583131
229,excitatory,rCA1,1765,1.5521635471629127,0.0727898929921262,8.682461088143622e-05,-1.7075434800554847,0.03603941015259993
236,excitatory,rCA1,403,0.3544033481624101,0.14094977083654273,0.00033334396497089756,-2.365995835059425,0.05803319893701041
237,excitatory,rCA1,1491,1.3112044469234578,0.06144014397963682,0.0035944549353628904,-1.7371381044197343,0.017591127073569898
238,excitatory,rCA1,1137,0.9998923247162786,0.14615910069818602,2.827217956263203e-11,-2.9704057254770264,0.009234090481633064
240,excitatory,rCA1,2889,2.540623505809436,0.06666639724108672,2.6527964307372403e-06,-1.734952037767819,0.01787281678469472
241,excitatory,rCA1,1151,1.0122041035606304,0.26910036496769996,6.334279314186051e-37,3.113592744260585,0.017962408230294265
242,excitatory,rCA1,1331,1.1704984029880097,0.029705042289682224,0.30898564041232357,-2.835591427543092,0.019204439167627874
250,inhibitory,rCA1,46862,41.21104144314358,0.2633852964204918,0.0,1.8091370941173117,0.001075541980828588
253,excitatory,rCA1,606,0.53292414140551,0.09381427126640343,0.004827255458340482,3.0019621842908624,0.0493946153028683
255,excitatory,rCA1,2149,1.8898580526079884,0.19188659560557506,4.320182895171431e-35,-2.3528539169709384,0.045176700011744356
256,inhibitory,rCA1,13786,12.123584510588055,0.49083731366086675,0.0,1.8562550017841002,0.007215663618580562
257,excitatory,rCA1,3395,2.985606369755291,0.1010661663639996,8.702195880488224e-16,-2.377870822986238,0.009283089327379396
258,excitatory,rCA1,2337,2.05518765423214,0.15519016490820836,3.597895321530785e-25,-1.429789536097714,0.02190716562064667
259,excitatory,rCA1,5548,4.878982073461666,0.049119997650105385,1.5363960822628337e-06,-2.952259111758705,0.01713707230754779
263,excitatory,rCA1,2379,2.092122990765195,0.17651556165977222,6.430396903148598e-33,0.7646280013399737,0.01420018933981694
264,excitatory,rCA1,304,0.26734148347735154,0.08178877833185044,0.13086632516516036,-3.1217594662928585,0.10183667977560693
266,excitatory,rCA1,1032,0.9075539833836408,0.13208196443821527,1.517060777050215e-08,-1.7639892722847894,0.039377866192100555
267,inhibitory,rCA1,3102,2.727938426798502,0.24672147823637822,9.886868782576179e-83,2.3186868232013933,0.02181229943889148
268,excitatory,rCA1,2264,1.9909905216865917,0.10494057400634814,1.485990453759917e-11,-2.6395980672360833,0.026507300109237988
269,excitatory,rCA1,735,0.6463683893284651,0.07198626765105941,0.022175067500669065,-3.112680873188852,0.05362157151750121
270,excitatory,rCA1,684,0.601518337824041,0.13610833682809606,3.1395600534976617e-06,-2.435234755556011,0.05928294443973099
271,excitatory,rCA1,220,0.19347081041124126,0.11543599829902437,0.053311493416505804,-2.9926115550316523,0.01875436265821465
272,excitatory,rCA1,989,0.8697392340759891,0.0992634427226725,5.859591817731736e-05,2.8254893029536916,0.028563770443681018
