start,stop,orientation,spatial_frequency,phase
5460.5069061429385,5460.757122141095,120.0,0.32,0.25
5460.757122141095,5461.007321142937,30.0,0.16,0.25
5461.007321142937,5461.25752014478,30.0,0.02,0.25
5461.25752014478,5461.507719146623,150.0,0.32,0.75
5461.507719146623,5461.757918148465,120.0,0.16,0.25
5461.757918148465,5462.008126646623,60.0,0.16,0.5
5462.008126646623,5462.258335144779,30.0,0.16,0.75
5462.258335144779,5462.508543642938,120.0,0.02,0.5
5462.508543642938,5462.758752141096,120.0,0.04,0.25
5462.758752141096,5463.0089611429385,90.0,0.08,0.75
5463.0089611429385,5463.259170144781,120.0,0.04,0.0
5463.259170144781,5463.509379146623,90.0,0.32,0.75
5463.509379146623,5463.759588148466,90.0,0.16,0.75
5463.759588148466,5464.009796646623,30.0,0.04,0.5
5464.009796646623,5464.260005144781,0.0,0.32,0.25
5464.260005144781,5464.510213642939,150.0,0.32,0.75
5464.510213642939,5464.760422141097,120.0,0.32,0.75
5464.760422141097,5465.010633642938,150.0,0.16,0.75
5465.010633642938,5465.2608451447795,120.0,0.32,0.25
5465.2608451447795,5465.511056646623,90.0,0.16,0.5
5465.511056646623,5465.761268148465,120.0,0.32,0.0
5465.761268148465,5466.011474146623,120.0,0.32,0.0
5466.011474146623,5466.261680144779,60.0,0.02,0.0
5466.261680144779,5466.511886142938,60.0,0.08,0.5
5466.511886142938,5466.762092141096,60.0,0.02,0.75
5466.762092141096,5467.0123061429385,0.0,0.04,0.0
5467.0123061429385,5467.262520144781,30.0,0.08,0.5
5467.262520144781,5467.512734146623,0.0,0.32,0.75
5467.512734146623,5467.762948148466,120.0,0.16,0.5
5467.762948148466,5468.013146646623,30.0,0.32,0.75
5468.013146646623,5468.263345144781,150.0,0.16,0.75
5468.263345144781,5468.513543642938,0.0,0.32,0.5
5468.513543642938,5468.763742141096,0.0,0.04,0.25
5468.763742141096,5469.013958642939,90.0,0.08,0.0
5469.013958642939,5469.264175144781,90.0,0.04,0.25
5469.264175144781,5469.514391646623,30.0,0.08,0.75
5469.514391646623,5469.764608148465,30.0,0.02,0.25
5469.764608148465,5470.0148141466225,150.0,0.04,0.5
5470.0148141466225,5470.2650201447805,90.0,0.04,0.5
5470.2650201447805,5470.515226142938,30.0,0.16,0.75
5470.515226142938,5470.765432141096,150.0,0.08,0.25
5470.765432141096,5471.015641142938,30.0,0.32,0.75
5471.015641142938,5471.2658501447795,30.0,0.16,0.25
5471.2658501447795,5471.516059146623,150.0,0.02,0.75
5471.516059146623,5471.766268148465,90.0,0.08,0.0
5471.766268148465,5472.016476646623,30.0,0.32,0.5
5472.016476646623,5472.266685144779,60.0,0.16,0.0
5472.266685144779,5472.516893642938,30.0,0.08,0.0
5472.516893642938,5472.767102141096,30.0,0.04,0.75
5472.767102141096,5473.0173136429385,30.0,0.16,0.0
5473.0173136429385,5473.267525144781,30.0,0.08,0.75
5473.267525144781,5473.517736646623,0.0,0.32,0.75
5473.517736646623,5473.7679481484665,90.0,0.02,0.75
5473.7679481484665,5474.018149146624,60.0,0.16,0.5
5474.018149146624,5474.268350144781,150.0,0.02,0.5
5474.268350144781,5474.518551142939,90.0,0.04,0.25
5474.518551142939,5474.768752141096,0.0,0.08,0.0
5474.768752141096,5475.018971142938,120.0,0.04,0.25
5475.018971142938,5475.269190144782,120.0,0.08,0.25
5475.269190144782,5475.519409146624,90.0,0.08,0.25
5475.519409146624,5475.769628148466,90.0,0.16,0.5
5475.769628148466,5476.019831646623,150.0,0.02,0.0
5476.019831646623,5476.270035144779,30.0,0.08,0.5
5476.270035144779,5476.520238642938,90.0,0.16,0.0
5476.520238642938,5476.770442141095,60.0,0.02,0.5
5476.770442141095,5477.020653642939,60.0,0.04,0.5
5477.020653642939,5477.270865144781,150.0,0.08,0.0
5477.270865144781,5477.5210766466225,60.0,0.16,0.75
5477.5210766466225,5477.771288148466,60.0,0.04,0.0
5477.771288148466,5478.021491646623,150.0,0.02,0.5
5478.021491646623,5478.271695144781,120.0,0.08,0.5
5478.271695144781,5478.521898642938,0.0,0.04,0.5
5478.521898642938,5478.772102141096,90.0,0.32,0.5
5478.772102141096,5479.022318642938,120.0,0.04,0.0
5479.022318642938,5479.272535144781,150.0,0.04,0.75
5479.272535144781,5479.522751646623,150.0,0.04,0.25
5479.522751646623,5479.772968148465,90.0,0.04,0.25
5479.772968148465,5480.023184146623,120.0,0.32,0.75
5480.023184146623,5480.273400144781,30.0,0.16,0.0
5480.273400144781,5480.523616142938,90.0,0.02,0.75
5480.523616142938,5480.773832141096,90.0,0.32,0.5
5480.773832141096,5481.024033642938,60.0,0.32,0.75
5481.024033642938,5481.2742351447805,120.0,0.32,0.25
5481.2742351447805,5481.524436646623,60.0,0.16,0.0
5481.774638148466,5482.024844146623,120.0,0.02,0.75
5482.024844146623,5482.275050144781,30.0,0.04,0.0
5482.275050144781,5482.525256142938,30.0,0.02,0.75
5482.775462141096,5483.025671142938,90.0,0.04,0.25
5483.025671142938,5483.275880144781,30.0,0.16,0.75
5483.275880144781,5483.526089146623,60.0,0.16,0.0
5483.526089146623,5483.776298148467,150.0,0.08,0.0
5483.776298148467,5484.0265141466225,150.0,0.08,0.0
5484.0265141466225,5484.276730144779,90.0,0.08,0.0
5484.276730144779,5484.526946142938,90.0,0.08,0.0
5484.526946142938,5484.777162141097,150.0,0.16,0.25
5484.777162141097,5485.027363642937,120.0,0.16,0.0
5485.027363642937,5485.27756514478,60.0,0.32,0.25
5485.27756514478,5485.527766646623,120.0,0.02,0.25
