,pref_dir,max_rate,mean_rate,gOSI,gDSI,OSI,pref_ori
950933821,315.0,0.07327198470198032,0.035923110452675266,0.07089481485318781,0.1387974069399102,0.11288921036471469,135.0
950933840,45.0,7.147381260538439,4.6232211403639,0.16918642512137183,0.07451021915144017,0.254654220386642,45.0
950933857,45.0,0.07327175175932747,0.05513767679472073,0.23415849858378085,0.17224821898943435,0.33278442929266605,45.0
950933873,45.0,0.1266158327669185,0.03676535333843141,0.5070698841512636,0.20083803390235344,0.6458368554685596,45.0
950933890,180.0,1.6519564145077261,1.0710231955156384,0.21922145988761385,0.030972607615145364,0.007205802398158585,0.0
950933907,135.0,1.674266895109837,1.1069312551843158,0.13615622765057048,0.0712403744787184,0.0015781117627427402,135.0
950933924,315.0,1.085758260075541,0.4001670273812088,0.3538991358581027,0.42854539202965475,0.5300906380252679,135.0
950933944,90.0,0.09325459982150877,0.057657890063664355,0.09483358335051455,0.15815986471038043,0.13287658761824248,90.0
950933960,225.0,4.023282946449546,1.2222239708189462,0.6973807527663917,0.04134130040178667,0.7826896314119871,45.0
950933978,315.0,0.11323861256940693,0.07602324737722786,0.1338075858848159,0.012142181383100133,0.24286627483898734,135.0
950934181,135.0,0.8438867425081089,0.5037875515889806,0.16526989307212125,0.08923709279882873,0.18461434325070886,135.0
950934197,45.0,0.026644185635164023,0.012531283919148655,0.06561144224475267,0.34433060052393855,0.003368248122127263,45.0
