start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch
4016.0144,4016.06,4016.04,5.655040264129639,0.0456,0.0001949146535480395,167.9602484534205,Awake,PRE
4017.0952,4017.1344,4017.116,5.062258243560791,0.0392,0.0001760941813699901,165.32202939250485,Awake,PRE
4017.5264,4017.5664,4017.5504,5.279438018798828,0.04,0.00016373084508813918,196.42307363733605,Awake,PRE
4017.828,4017.912,4017.856,9.899735450744629,0.084,0.0003084453346673399,162.76413176609208,Awake,PRE
4019.9016,4019.9536,4019.9256,12.907402038574219,0.052,0.00035053706960752606,165.64165584187862,Awake,PRE
4019.9992,4020.0552,4020.0288,12.094579696655273,0.056,0.0003270353772677481,173.5637196654094,Awake,PRE
4020.7216,4020.7576,4020.74,5.391997337341309,0.036,0.0001730363437673077,152.50006903845403,Awake,PRE
4022.1216,4022.1584,4022.1384,5.344533920288086,0.0368,0.00017937168013304472,161.96169479782122,Awake,PRE
4023.8224,4023.8632,4023.84,6.147781848907471,0.0408,0.00023220069124363363,171.34789223174516,Awake,PRE
4033.1168,4033.212,4033.1808,6.599381923675537,0.0952,0.00020163363660685718,156.81072533382394,Non-REM,PRE
4033.3288,4033.3632,4033.344,5.7184834480285645,0.0344,0.00022597771021537483,166.7084882571185,Non-REM,PRE
4034.6672,4034.7896,4034.7632,8.853570938110352,0.1224,0.0003023013996426016,157.42729052564403,Non-REM,PRE
4035.1624,4035.2064,4035.1856,10.369874000549316,0.044,0.0003373444778844714,187.2609818097946,Non-REM,PRE
4035.4144,4035.468,4035.448,8.614797592163086,0.0536,0.00026420061476528645,166.1850121518251,Non-REM,PRE
4035.7224,4035.7808,4035.7512,12.01254653930664,0.0584,0.0003743102424778044,175.50860270385334,Non-REM,PRE
4042.5776,4042.6768,4042.6512,10.740883827209473,0.0992,0.00031140720238909125,159.90037083820664,Non-REM,PRE
4042.8008,4042.852,4042.8256,13.006083488464355,0.0512,0.00036084363819099963,172.93071629724636,Non-REM,PRE
4043.9608,4043.9992,4043.9808,7.489480495452881,0.0384,0.00024209452385548502,166.57697132894899,Non-REM,PRE
4044.62,4044.664,4044.6408,10.106453895568848,0.044,0.0003524176136124879,166.92662136263348,Non-REM,PRE
4045.5248,4045.5816,4045.5552,7.894155025482178,0.0568,0.00023942432017065585,146.58309441777595,Non-REM,PRE
