session,unit,direction,peak_rate,peak_pos,field_start,field_end,field_width,spatial_info,n_spikes_field,is_place_cell,slope,phase0,rho,perm_p
Achilles_10252013,56,R,21.596514623113446,0.1,3.469446951953614e-18,0.36,0.36,1.5378704262577931,560,True,-0.53,2.979717286157571,-0.18440032990308874,0.001996007984031936
Achilles_10252013,57,R,10.675206064132544,1.26,0.84,1.52,0.68,0.6436046811983924,225,True,-1.08,6.037440335206514,-0.4096297710095716,0.001996007984031936
Achilles_10252013,82,R,7.732843838265781,0.5,0.28,0.96,0.6799999999999999,0.7895930305865408,261,True,-0.75,5.872512904559734,-0.21101115384693764,0.001996007984031936
Achilles_10252013,92,R,29.385751505655946,0.02,3.469446951953614e-18,0.28,0.28,1.7914923284046236,637,True,-0.6599999999999999,3.901838512526539,-0.2852742721402253,0.001996007984031936
Achilles_10252013,95,R,15.056997840213441,0.02,3.469446951953614e-18,0.12,0.12,2.622837261197069,141,True,-0.4099999999999999,3.1898753458343934,-0.35694167649018327,0.001996007984031936
Achilles_10252013,103,R,3.3967378342200054,1.3800000000000001,0.96,1.6,0.6400000000000001,0.6559504648094207,50,True,1.62,3.1607645036438,0.23736249059254405,0.18163672654690619
Achilles_10252013,109,R,5.206353816560479,1.42,1.08,1.6,0.52,1.6610174456253475,89,True,-1.04,0.3779346304145233,0.28291483699973347,0.001996007984031936
Achilles_10252013,112,R,9.893935023835981,0.02,3.469446951953614e-18,0.12,0.12,2.7657959824725906,78,True,-0.06000000000000005,1.8272781062206682,-0.04342179701069014,0.7644710578842315
Achilles_10252013,113,R,15.92319661223892,0.26,0.04,0.64,0.6,0.7438745741425684,455,True,-1.81,6.058312125045196,-0.4198467492626548,0.001996007984031936
Achilles_10252013,151,R,7.925994038325944,1.58,1.36,1.6,0.24,0.7231394242157911,63,True,-0.15999999999999992,5.39698451664319,-0.47268539551170047,0.001996007984031936
Achilles_10252013,163,R,5.656853127114309,0.02,3.469446951953614e-18,0.16,0.16,0.6647038812758167,82,True,-0.56,4.0516955662296095,-0.3133391792792491,0.003992015968063872
