template,wcorr,slope,p_circ,p_perm,max_p,significant
left,0.18273378089426068,88.95025054223561,0.3566084788029925,0.5211970074812967,0.5211970074812967,False
left,0.11461724595770119,73.32081441289088,0.830423940149626,0.8778054862842892,0.8778054862842892,False
right,-0.2430462334879269,-178.07244039507202,0.41895261845386533,0.5311720698254364,0.5311720698254364,False
right,0.21024228265866737,106.05187269723186,0.30423940149625933,0.543640897755611,0.543640897755611,False
right,0.22794230351839667,72.26525108984441,0.1371571072319202,0.3341645885286783,0.3341645885286783,False
left,-0.37195057443162155,-250.15168356171705,0.03740648379052369,0.17955112219451372,0.17955112219451372,False
right,0.20800756773614185,79.95735171041473,0.18204488778054864,0.3740648379052369,0.3740648379052369,False
left,0.3027853379869158,216.58256985641393,0.11970074812967581,0.42643391521197005,0.42643391521197005,False
right,-0.3282820027643469,-173.2813645684018,0.12219451371571072,0.20448877805486285,0.20448877805486285,False
left,0.06553954276743089,34.6347161301307,0.9077306733167082,0.9625935162094763,0.9625935162094763,False
left,0.29487014604776274,121.68948135461211,0.09975062344139651,0.16209476309226933,0.16209476309226933,False
right,-0.10357262984549777,-57.10159106311939,0.7780548628428927,0.830423940149626,0.830423940149626,False
left,-0.3405069728261482,-156.42664934667917,0.017456359102244388,0.10473815461346633,0.10473815461346633,False
right,-0.3462737377790365,-181.47754833933735,0.08977556109725686,0.1745635910224439,0.1745635910224439,False
right,0.4589206539370827,201.22418593364196,0.004987531172069825,0.02743142144638404,0.02743142144638404,True
left,0.1904696365597997,112.17860629936092,0.46384039900249374,0.5411471321695761,0.5411471321695761,False
right,0.16947837333840643,83.91302826413244,0.49625935162094764,0.6059850374064838,0.6059850374064838,False
left,0.25843856761452816,195.87215181598327,0.4339152119700748,0.5935162094763092,0.5935162094763092,False
right,-0.3000828947307739,-103.77341613267508,0.02493765586034913,0.0798004987531172,0.0798004987531172,False
left,-0.028257086167420117,-12.460699930328166,0.9825436408977556,0.9825436408977556,0.9825436408977556,False
left,-0.222987222270089,-140.75771984010925,0.3491271820448878,0.5012468827930174,0.5012468827930174,False
right,-0.237849576120514,-159.34309985398747,0.44389027431421446,0.5561097256857855,0.5561097256857855,False
