template,wcorr,slope,p_circ,p_perm,max_p,epoch,event,t0,dur,n_active,significant,fwd
left,-0.20685399673704757,-106.51586904914619,0.29925187032418954,0.46384039900249374,0.46384039900249374,PRE,3838,17683.61,0.3600000000005821,40,False,True
right,-0.6008474051581165,-330.19604327957,0.0024937655860349127,0.004987531172069825,0.004987531172069825,PRE,3843,17699.73,0.2999999999992724,30,True,False
left,0.4109183438474154,218.4557573485307,0.017456359102244388,0.07481296758104738,0.07481296758104738,PRE,3845,17700.45,0.3499999999985448,49,False,False
right,0.08624796001840343,47.0039255129178,0.8478802992518704,0.9052369077306733,0.9052369077306733,PRE,3846,17702.75,0.31999999999970896,37,False,True
left,-0.509488126687464,-332.10194477070314,0.0024937655860349127,0.02493765586034913,0.02493765586034913,PRE,3847,17705.0,0.25,27,True,True
right,-0.20489303109623133,-103.50688365510328,0.24688279301745636,0.5411471321695761,0.5411471321695761,PRE,3848,17706.04,0.3099999999976717,36,False,False
left,-0.2598044253811627,-96.55861415686398,0.13466334164588528,0.18453865336658354,0.18453865336658354,PRE,3849,17707.81,0.5,57,False,True
right,-0.18990666141219112,-95.67219180399432,0.44389027431421446,0.5785536159600998,0.5785536159600998,PRE,3850,17714.04,0.3600000000005821,43,False,False
right,0.2990657567435318,129.1190473851628,0.08229426433915212,0.16209476309226933,0.16209476309226933,PRE,3851,17714.86,0.38000000000101863,37,False,True
right,-0.07474260614619832,-27.78087638625971,0.800498753117207,0.8753117206982544,0.8753117206982544,PRE,3853,17718.83,0.4699999999975262,48,False,False
left,0.06108743839931012,27.893350668865224,0.9002493765586035,0.9077306733167082,0.9077306733167082,PRE,3855,17731.24,0.4099999999998545,50,False,False
right,-0.2537860249635995,-94.04121633487892,0.12219451371571072,0.27680798004987534,0.27680798004987534,PRE,3856,17773.18,0.47999999999956344,63,False,False
right,0.40471943740703353,243.25333001250115,0.04239401496259352,0.1745635910224439,0.1745635910224439,PRE,3857,17779.08,0.2599999999983993,31,False,True
left,-0.10151159182494905,-53.386433741921145,0.8204488778054863,0.8653366583541147,0.8653366583541147,PRE,3861,17800.85,0.3100000000013097,45,False,True
right,-0.1878766868567233,-88.63702438476047,0.3790523690773067,0.6508728179551122,0.6508728179551122,PRE,3864,17806.62,0.33000000000174623,42,False,False
left,-0.04301277172426065,-21.966724862120923,0.9501246882793017,0.9551122194513716,0.9551122194513716,PRE,3867,17814.75,0.3499999999985448,48,False,True
right,0.04495466921258012,19.230531697144865,0.9177057356608479,0.9576059850374065,0.9576059850374065,PRE,3869,17822.02,0.3999999999978172,40,False,True
right,-0.6147087815145132,-407.2819726723625,0.007481296758104738,0.012468827930174564,0.012468827930174564,PRE,3871,17832.91,0.2599999999983993,35,True,False
right,0.10646365743161947,50.035958043531615,0.7107231920199502,0.8403990024937655,0.8403990024937655,PRE,3875,17844.57,0.4000000000014552,47,False,True
right,-0.44805000157400005,-288.6948592333493,0.032418952618453865,0.16708229426433915,0.16708229426433915,PRE,3876,17845.18,0.2599999999983993,35,False,False
right,0.23815522964393088,86.46822753787572,0.17955112219451372,0.2793017456359102,0.2793017456359102,PRE,3879,17852.8,0.47999999999956344,56,False,True
left,0.25428149838524866,193.7494090255999,0.26433915211970077,0.49875311720698257,0.49875311720698257,PRE,3882,17858.45,0.25,31,False,False
right,0.24355011696603457,164.75341913177834,0.2593516209476309,0.41895261845386533,0.41895261845386533,PRE,3894,17914.01,0.25,23,False,True
right,0.16062316115883898,101.78561103121173,0.6957605985037406,0.7356608478802993,0.7356608478802993,PRE,3896,17918.95,0.27999999999883585,39,False,True
right,0.29304222484483067,153.0208884152637,0.16209476309226933,0.32917705735660846,0.32917705735660846,PRE,3898,17934.51,0.27000000000043656,38,False,True
right,-0.3489193772523728,-151.61997966988477,0.057356608478802994,0.09975062344139651,0.09975062344139651,PRE,3902,17954.98,0.3600000000005821,41,False,False
right,-0.22501319997339475,-102.2067888711555,0.2967581047381546,0.39900249376558605,0.39900249376558605,PRE,3904,17961.27,0.38000000000101863,47,False,False
left,-0.19720959721736006,-84.46223060529617,0.23940149625935161,0.46384039900249374,0.46384039900249374,PRE,3905,17974.22,0.43000000000029104,39,False,True
left,-0.04744931145421385,-20.472082043940134,0.9376558603491272,0.9576059850374065,0.9576059850374065,PRE,3913,17998.61,0.31999999999970896,32,False,True
