template,wcorr,slope,p_circ,p_perm,max_p,epoch,event,t0,dur,n_active,significant,session
left,-0.08333007568302636,-45.59744146237185,0.7755610972568578,0.8753117206982544,0.8753117206982544,PRE,2491,13256.36,0.2999999999992724,17,False,Gatsby-08022013
left,0.07306222574937006,38.63361334576246,0.8029925187032418,0.8628428927680798,0.8628428927680798,PRE,2495,13259.39,0.37000000000080036,18,False,Gatsby-08022013
right,-0.2763314415399543,-141.34556125150726,0.09975062344139651,0.1571072319201995,0.1571072319201995,PRE,2508,13323.15,0.2600000000002183,13,False,Gatsby-08022013
right,-0.1390697912910367,-67.9011783747802,0.600997506234414,0.7256857855361596,0.7256857855361596,PRE,2512,13337.72,0.3400000000001455,18,False,Gatsby-08022013
right,0.04319430921239593,17.895927112333645,0.9276807980049875,0.9476309226932669,0.9476309226932669,PRE,2514,13468.42,0.3999999999996362,22,False,Gatsby-08022013
right,0.2483269410083759,74.50923980945632,0.017456359102244388,0.07231920199501247,0.07231920199501247,PRE,2515,13476.9,0.5,20,False,Gatsby-08022013
left,-0.5178393372991453,-301.58191313145653,0.004987531172069825,0.017456359102244388,0.017456359102244388,PRE,2517,13531.96,0.32000000000152795,28,True,Gatsby-08022013
left,0.12725787720356715,67.74022289707044,0.6309226932668329,0.7381546134663342,0.7381546134663342,PRE,2522,13553.92,0.3400000000001455,21,False,Gatsby-08022013
left,-0.0586813860825052,-32.70525266143294,0.9276807980049875,0.9226932668329177,0.9276807980049875,PRE,2527,13593.8,0.27000000000043656,17,False,Gatsby-08022013
right,-0.11569026298454328,-82.8574139748891,0.773067331670823,0.8204488778054863,0.8204488778054863,PRE,2533,13658.49,0.28000000000065484,20,False,Gatsby-08022013
right,0.16181076588480703,74.91162493675512,0.4239401496259352,0.5910224438902744,0.5910224438902744,PRE,2540,13683.46,0.2900000000008731,15,False,Gatsby-08022013
left,-0.2780736943213749,-175.78864739899961,0.16708229426433915,0.36159600997506236,0.36159600997506236,PRE,2541,13687.19,0.2899999999990541,22,False,Gatsby-08022013
left,0.12737454671100093,86.28219983249495,0.48129675810473815,0.6882793017456359,0.6882793017456359,PRE,2543,13696.26,0.27000000000043656,25,False,Gatsby-08022013
left,0.1724365941742047,106.93013412632811,0.3640897755610973,0.5835411471321695,0.5835411471321695,PRE,2549,13724.1,0.27999999999883585,21,False,Gatsby-08022013
right,0.41210504518758817,208.7001006626982,0.007481296758104738,0.0399002493765586,0.0399002493765586,PRE,2573,13838.9,0.2900000000008731,14,True,Gatsby-08022013
right,-0.1219591372529669,-76.16718462937409,0.6982543640897756,0.7930174563591023,0.7930174563591023,PRE,2574,13841.17,0.2600000000002183,16,False,Gatsby-08022013
right,0.20250317546835986,105.08179681560466,0.30423940149625933,0.4837905236907731,0.4837905236907731,PRE,2576,13845.38,0.2900000000008731,15,False,Gatsby-08022013
right,0.04662253891076782,23.490412032933587,0.9650872817955112,0.9476309226932669,0.9650872817955112,PRE,2578,13849.94,0.26999999999861757,19,False,Gatsby-08022013
left,-0.044848041655239354,-29.887628085009386,0.942643391521197,0.9451371571072319,0.9451371571072319,PRE,2579,13853.5,0.2900000000008731,17,False,Gatsby-08022013
right,-0.04309526545446284,-13.300805016537577,0.8902743142144638,0.9750623441396509,0.9750623441396509,PRE,2581,13860.06,0.4400000000005093,20,False,Gatsby-08022013
left,-0.4812357638809073,-327.1749423250033,0.004987531172069825,0.007481296758104738,0.007481296758104738,PRE,2586,13900.32,0.2600000000002183,15,True,Gatsby-08022013
right,-0.16999437352578767,-82.36924577194407,0.3341645885286783,0.6059850374064838,0.6059850374064838,PRE,2587,13907.96,0.2900000000008731,16,False,Gatsby-08022013
left,0.16568677418184058,70.23789787524478,0.3516209476309227,0.48877805486284287,0.48877805486284287,PRE,2589,13914.27,0.37999999999919964,22,False,Gatsby-08022013
left,-0.03550357412365411,-15.327635485251067,0.9351620947630923,0.972568578553616,0.972568578553616,PRE,2591,13918.29,0.41999999999825377,19,False,Gatsby-08022013
left,0.10065421507669838,62.75034149283424,0.6608478802992519,0.8403990024937655,0.8403990024937655,PRE,2595,13944.45,0.26999999999861757,18,False,Gatsby-08022013
right,0.42565228237235764,234.52416052575305,0.0024937655860349127,0.05236907730673317,0.05236907730673317,PRE,2598,13962.11,0.2999999999992724,18,False,Gatsby-08022013
left,-0.013469262572241339,-5.590822804983857,0.9900249376558603,0.9975062344139651,0.9975062344139651,PRE,2602,13967.5,0.4099999999998545,27,False,Gatsby-08022013
left,-0.19056628493095065,-111.30849332610383,0.2718204488778055,0.5062344139650873,0.5062344139650873,PRE,2606,13990.21,0.27000000000043656,16,False,Gatsby-08022013
left,-0.2594722120201433,-137.5831221778938,0.06483790523690773,0.19201995012468828,0.19201995012468828,PRE,2608,13995.75,0.3099999999994907,21,False,Gatsby-08022013
left,0.18658383270080986,143.13327179488596,0.5486284289276808,0.6483790523690773,0.6483790523690773,PRE,2611,14002.43,0.2600000000002183,19,False,Gatsby-08022013
right,0.2463437355067657,134.18177440038266,0.04239401496259352,0.32169576059850374,0.32169576059850374,PRE,2613,14006.9,0.27000000000043656,15,False,Gatsby-08022013
right,0.1811953163672636,69.81840161717425,0.3640897755610973,0.5386533665835411,0.5386533665835411,PRE,2616,14017.81,0.3900000000012369,22,False,Gatsby-08022013
right,-0.1065015694173152,-62.40908319046952,0.7655860349127181,0.8503740648379052,0.8503740648379052,PRE,2623,14043.81,0.2600000000002183,15,False,Gatsby-08022013
left,0.2852842515824459,124.56322588805284,0.034912718204488775,0.1596009975062344,0.1596009975062344,PRE,2627,14053.33,0.3600000000005821,23,False,Gatsby-08022013
left,-0.44146948159171834,-266.32206044260823,0.012468827930174564,0.022443890274314215,0.022443890274314215,PRE,2628,14059.29,0.2999999999992724,18,True,Gatsby-08022013
right,-0.47922355914374704,-272.95852304563357,0.004987531172069825,0.029925187032418952,0.029925187032418952,PRE,2629,14059.63,0.3000000000010914,18,True,Gatsby-08022013
left,0.25056148714657694,174.8491915297859,0.1770573566084788,0.4912718204488778,0.4912718204488778,PRE,2637,14087.82,0.28000000000065484,22,False,Gatsby-08022013
right,-0.293922725575792,-135.13739010504196,0.059850374064837904,0.13466334164588528,0.13466334164588528,PRE,2639,14093.13,0.3600000000005821,28,False,Gatsby-08022013
left,0.22251361472950112,118.62070635646913,0.1596009975062344,0.3541147132169576,0.3541147132169576,PRE,2640,14096.09,0.32999999999992724,18,False,Gatsby-08022013
left,0.1044286974534765,59.56486414933552,0.7182044887780549,0.827930174563591,0.827930174563591,PRE,2644,14111.38,0.28000000000065484,17,False,Gatsby-08022013
left,0.2002386858681224,140.14664439590845,0.3740648379052369,0.6658354114713217,0.6658354114713217,PRE,2647,14114.01,0.25,23,False,Gatsby-08022013
left,-0.13026547526256083,-89.07157766430329,0.713216957605985,0.8229426433915212,0.8229426433915212,PRE,2651,14124.08,0.2600000000002183,23,False,Gatsby-08022013
left,-0.15702157352051083,-78.10751306795649,0.3765586034912718,0.48877805486284287,0.48877805486284287,PRE,2661,14160.08,0.3999999999996362,23,False,Gatsby-08022013
right,0.03542712564819185,17.264526633187604,0.9600997506234414,0.9850374064837906,0.9850374064837906,PRE,2669,14211.39,0.3100000000013097,18,False,Gatsby-08022013
right,-0.3008347469891744,-115.01276143072347,0.007481296758104738,0.0773067331670823,0.0773067331670823,PRE,2670,14235.13,0.3900000000012369,24,False,Gatsby-08022013
right,-0.09372856685420956,-46.18181245200919,0.773067331670823,0.7306733167082294,0.773067331670823,PRE,2673,14262.36,0.27999999999883585,20,False,Gatsby-08022013
left,0.2926089113639937,109.42131290004923,0.012468827930174564,0.06733167082294264,0.06733167082294264,PRE,2677,14269.0,0.43000000000029104,27,False,Gatsby-08022013
left,0.03476477626674459,14.970016061556683,0.9476309226932669,0.9476309226932669,0.9476309226932669,PRE,2690,14300.23,0.3500000000003638,17,False,Gatsby-08022013
right,-0.10113965963664576,-45.99269723450323,0.7406483790523691,0.7456359102244389,0.7456359102244389,PRE,2695,14312.09,0.31999999999970896,17,False,Gatsby-08022013
right,0.16769823485631635,65.21131074429051,0.2344139650872818,0.4114713216957606,0.4114713216957606,PRE,2696,14313.53,0.3999999999996362,18,False,Gatsby-08022013
left,0.30198879629280334,202.67858047159464,0.09975062344139651,0.1745635910224439,0.1745635910224439,PRE,2698,14316.22,0.3000000000010914,22,False,Gatsby-08022013
left,-0.2838002369669187,-117.34758565819635,0.04738154613466334,0.14713216957605985,0.14713216957605985,PRE,2700,14318.91,0.4099999999998545,25,False,Gatsby-08022013
left,0.2113517479931188,113.43815210306698,0.14214463840399003,0.38154613466334164,0.38154613466334164,PRE,2706,14725.53,0.31999999999970896,19,False,Gatsby-08022013
right,0.13203991908987456,77.88319611593052,0.57356608478803,0.7082294264339152,0.7082294264339152,PRE,2712,14741.11,0.2899999999990541,14,False,Gatsby-08022013
right,0.18484626036447727,64.7481220252938,0.32418952618453867,0.3566084788029925,0.3566084788029925,PRE,2714,14952.35,0.42000000000007276,17,False,Gatsby-08022013
right,0.3341887965833779,144.22843425564247,0.004987531172069825,0.04987531172069826,0.04987531172069826,PRE,2717,14990.13,0.41000000000167347,28,True,Gatsby-08022013
right,-0.11087117781597365,-56.64547950872048,0.5386533665835411,0.7680798004987531,0.7680798004987531,PRE,2720,14993.2,0.2899999999990541,17,False,Gatsby-08022013
right,-0.0794429075595219,-32.07645621867025,0.7456359102244389,0.8778054862842892,0.8778054862842892,PRE,2723,15001.69,0.4099999999998545,23,False,Gatsby-08022013
right,0.17475387210092158,66.70496728318555,0.256857855361596,0.40648379052369077,0.40648379052369077,PRE,2725,15021.32,0.37000000000080036,21,False,Gatsby-08022013
right,0.05294160103527282,18.38222038282934,0.8877805486284289,0.9326683291770573,0.9326683291770573,PRE,2728,15033.49,0.4500000000007276,25,False,Gatsby-08022013
right,0.22594984098986765,95.63843522466631,0.12468827930174564,0.32917705735660846,0.32917705735660846,PRE,2730,15036.68,0.3400000000001455,16,False,Gatsby-08022013
right,-0.1882171721467368,-122.56566365646972,0.27680798004987534,0.5810473815461347,0.5810473815461347,PRE,2731,15038.06,0.25,21,False,Gatsby-08022013
left,-0.30798609433957647,-189.36563881405897,0.029925187032418952,0.24189526184538654,0.24189526184538654,PRE,2736,15053.83,0.2900000000008731,19,False,Gatsby-08022013
left,-0.28035821980120157,-122.15890826893981,0.0199501246882793,0.12718204488778054,0.12718204488778054,PRE,2739,15067.97,0.37000000000080036,21,False,Gatsby-08022013
right,0.24415007310686965,77.0083977522162,0.07481296758104738,0.17955112219451372,0.17955112219451372,PRE,2743,15085.67,0.43000000000029104,21,False,Gatsby-08022013
right,0.0755963497899223,43.449188366635745,0.773067331670823,0.9027431421446384,0.9027431421446384,PRE,2748,15101.91,0.27000000000043656,19,False,Gatsby-08022013
left,-0.11935901870352013,-54.826244518941984,0.5511221945137157,0.6458852867830424,0.6458852867830424,PRE,2760,15178.99,0.38000000000101863,21,False,Gatsby-08022013
left,-0.15339348371492617,-74.54140570018777,0.341645885286783,0.6059850374064838,0.6059850374064838,PRE,2764,15183.81,0.3500000000003638,19,False,Gatsby-08022013
left,0.22183653066915654,125.16443787714269,0.09975062344139651,0.341645885286783,0.341645885286783,PRE,2766,15186.41,0.2900000000008731,14,False,Gatsby-08022013
left,-0.2006769487316701,-110.46099521806937,0.29925187032418954,0.4837905236907731,0.4837905236907731,PRE,2770,15192.71,0.28000000000065484,16,False,Gatsby-08022013
left,0.18655544673833951,122.63371650947164,0.3740648379052369,0.6583541147132169,0.6583541147132169,PRE,2771,15196.57,0.2600000000002183,17,False,Gatsby-08022013
right,-0.14227493235247785,-108.80940875550175,0.600997506234414,0.7805486284289277,0.7805486284289277,PRE,2777,15209.77,0.2600000000002183,22,False,Gatsby-08022013
right,-0.06724788060346129,-34.686169839932795,0.8329177057356608,0.9376558603491272,0.9376558603491272,PRE,2780,15225.13,0.28000000000065484,17,False,Gatsby-08022013
right,-0.24775395087792657,-144.56385439625015,0.1770573566084788,0.3117206982543641,0.3117206982543641,PRE,2794,15261.24,0.25,16,False,Gatsby-08022013
left,0.08071142420015211,48.94022817544647,0.8204488778054863,0.885286783042394,0.885286783042394,PRE,2797,15317.27,0.2600000000002183,18,False,Gatsby-08022013
left,-0.24560907908849014,-141.82143274486518,0.23940149625935161,0.40648379052369077,0.40648379052369077,PRE,2802,15367.45,0.3400000000001455,33,False,Gatsby-08022013
left,-0.12440323903460421,-55.12981801997908,0.600997506234414,0.6683291770573566,0.6683291770573566,PRE,2807,15388.32,0.3500000000003638,18,False,Gatsby-08022013
right,-0.10929770152960665,-76.94167673773974,0.773067331670823,0.8728179551122195,0.8728179551122195,PRE,2809,15398.22,0.2600000000002183,13,False,Gatsby-08022013
right,0.3317747023094546,188.40237549275633,0.02493765586034913,0.1571072319201995,0.1571072319201995,PRE,2812,15412.63,0.3000000000010914,21,False,Gatsby-08022013
right,-0.32964665816864225,-163.30220947782686,0.10972568578553615,0.17955112219451372,0.17955112219451372,PRE,2818,15425.06,0.28000000000065484,17,False,Gatsby-08022013
left,0.3775241994784486,208.76476911875088,0.007481296758104738,0.08728179551122195,0.08728179551122195,PRE,2823,15464.43,0.2899999999990541,19,False,Gatsby-08022013
right,-0.16783613917475967,-78.11506961013204,0.24438902743142144,0.543640897755611,0.543640897755611,PRE,2826,15468.97,0.32000000000152795,13,False,Gatsby-08022013
right,-0.07003301218794601,-30.472081492044364,0.800498753117207,0.8354114713216958,0.8354114713216958,PRE,2830,15477.79,0.3099999999994907,13,False,Gatsby-08022013
right,-0.22316054288341647,-138.07746557077138,0.30174563591022446,0.40648379052369077,0.40648379052369077,PRE,2831,15478.89,0.2600000000002183,16,False,Gatsby-08022013
left,0.2821049841252197,108.86074142318866,0.00997506234413965,0.09975062344139651,0.09975062344139651,PRE,2838,15500.23,0.4099999999998545,23,False,Gatsby-08022013
