start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch,session,r,slope,direction,p_column,p_placefield,p_timebin,significant,n_bins
26579.668,26579.7192,26579.692,12.872626304626465,0.0512,0.00027260370552539825,179.9305615953707,Non-REM,POST,Cicero_09012014,0.08357180660874099,1.404171850244467,right,0.5808383233532934,0.7485029940119761,0.8922155688622755,False,5
26580.0464,26580.1072,26580.0704,15.135417938232422,0.0608,0.0003181457577738911,183.90980963648414,Non-REM,POST,Cicero_09012014,0.4038576297294442,6.251366479975336,right,0.06786427145708583,0.16966067864271456,0.23552894211576847,False,5
26581.0512,26581.108,26581.0712,12.479397773742676,0.0568,0.0002882661938201636,154.76403075663882,Non-REM,POST,Cicero_09012014,0.3167137431841985,6.160203140618468,left,0.1996007984031936,0.1157684630738523,0.7005988023952096,False,5
26581.1496,26581.2464,26581.1832,7.417644500732422,0.0968,0.00013292553194332868,165.17591398304722,Non-REM,POST,Cicero_09012014,0.3146965472748625,3.4020815052254663,right,0.14171656686626746,0.3033932135728543,0.38323353293413176,False,7
26586.088,26586.1456,26586.1112,10.702802658081055,0.0576,0.00019410434470046312,164.84860666804482,Non-REM,POST,Cicero_09012014,0.13357322382290987,2.1131823384937696,right,0.5329341317365269,0.6487025948103793,0.7564870259481038,False,5
26594.1496,26594.2032,26594.168,6.168237209320068,0.0536,0.00013303139712661505,152.6836480231079,Non-REM,POST,Cicero_09012014,0.08777956369719488,1.5424640333867097,left,0.5429141716566867,0.24750499001996007,0.9680638722554891,False,5
26597.064,26597.1848,26597.1528,14.549172401428223,0.1208,0.0002581446315161884,151.14146745469765,Non-REM,POST,Cicero_09012014,-0.30457985859578657,-3.0012198616102586,left,0.017964071856287425,0.13972055888223553,0.05389221556886228,False,8
26603.992,26604.0432,26604.0176,9.126015663146973,0.0512,0.00021054829994682223,162.65489118332138,Non-REM,POST,Cicero_09012014,-0.10349087710843094,-1.5008141027718842,left,0.7644710578842315,0.6846307385229541,0.8922155688622755,False,5
26604.1736,26604.2296,26604.2048,6.614750862121582,0.056,0.0001237562100868672,166.81950905322438,Non-REM,POST,Cicero_09012014,-0.11099210249984322,-2.0010574067840974,left,0.7944111776447106,0.812375249500998,0.906187624750499,False,5
26608.8728,26608.9272,26608.8944,11.483234405517578,0.0544,0.0002360572834732011,159.49285228278174,Non-REM,POST,Cicero_09012014,0.07002712338556179,1.040373042348361,left,0.8223552894211577,0.8542914171656687,0.9221556886227545,False,5
26621.0568,26621.1088,26621.0832,11.675220489501953,0.052,0.0002342180086998269,170.70422122724835,Non-REM,POST,Cicero_09012014,-0.1340241553883836,-2.280813997823311,left,0.34331337325349304,0.34530938123752497,0.6127744510978044,False,5
26622.064,26622.164,26622.0912,8.749518394470215,0.1,0.00019053739379160106,147.97194473148966,Non-REM,POST,Cicero_09012014,0.2001535256190219,2.472160891738641,left,0.3333333333333333,0.3872255489021956,0.7105788423153693,False,7
26625.9624,26626.0352,26625.9928,11.583962440490723,0.0728,0.00022791849914938211,158.33153333165916,Non-REM,POST,Cicero_09012014,-0.13502757222297276,-1.8035588582157842,left,0.3093812375249501,0.5568862275449101,0.5888223552894212,False,6
26631.5088,26631.5664,26631.532,9.16032600402832,0.0576,0.00018645473755896091,159.85946532296495,Non-REM,POST,Cicero_09012014,0.052949895539166306,0.915475888088816,right,0.6826347305389222,0.874251497005988,0.9700598802395209,False,5
26633.816,26633.9408,26633.8376,7.690122604370117,0.1248,0.00019129400607198477,163.71029720767353,Non-REM,POST,Cicero_09012014,-0.08906393187340957,-0.7908440941713955,left,0.7904191616766467,0.7485029940119761,0.6147704590818364,False,8
