start,stop,peak_t,peak_z,duration,peak_amp,peak_freq,state,epoch,session
10685.9224,10686.0392,10685.9448,7.825329780578613,0.1168,9.21249738894403e-05,148.51183894508955,Awake,PRE,Gatsby_08022013
10687.7728,10687.8192,10687.796,10.107901573181152,0.0464,0.00011269920651102439,166.50776647523602,Awake,PRE,Gatsby_08022013
10690.8984,10690.9456,10690.9168,7.064180850982666,0.0472,8.972861542133614e-05,154.63656975105448,Non-REM,PRE,Gatsby_08022013
10692.0216,10692.0656,10692.0416,6.572175979614258,0.044,9.231104922946543e-05,148.39372251032518,Non-REM,PRE,Gatsby_08022013
10697.9616,10697.9976,10697.9792,7.232062339782715,0.036,7.778771396260709e-05,158.24348014210526,Non-REM,PRE,Gatsby_08022013
10736.0616,10736.1024,10736.0824,7.260087966918945,0.0408,9.019199933391064e-05,167.66664727451814,Awake,PRE,Gatsby_08022013
10798.904,10799.0728,10798.9216,5.186938285827637,0.1688,7.915003516245633e-05,175.33443264543726,Awake,PRE,Gatsby_08022013
10840.0104,10840.2072,10840.1136,11.769186973571777,0.1968,0.00015756335051264614,178.9714167720992,Awake,PRE,Gatsby_08022013
10853.6288,10853.688,10853.648,9.271356582641602,0.0592,9.19409139896743e-05,149.6266630986584,Awake,PRE,Gatsby_08022013
10967.788,10967.8992,10967.828,6.381680488586426,0.1112,8.441428508376703e-05,192.7398351739442,Awake,PRE,Gatsby_08022013
10980.5072,10980.6136,10980.5632,7.073246479034424,0.1064,7.790890958858654e-05,165.7943783857492,Awake,PRE,Gatsby_08022013
11008.196,11008.22,11008.2072,5.229179382324219,0.024,8.456651994492859e-05,198.49803829146907,Awake,PRE,Gatsby_08022013
11020.12,11020.2392,11020.1456,8.044118881225586,0.1192,9.82725468929857e-05,147.32092960341535,Awake,PRE,Gatsby_08022013
11049.0264,11049.052,11049.0392,5.040836811065674,0.0256,8.121228165691718e-05,188.4061267713079,Awake,PRE,Gatsby_08022013
11094.8672,11094.9416,11094.9016,6.466565132141113,0.0744,0.00010854027641471475,176.06389709327777,Awake,PRE,Gatsby_08022013
11098.5824,11098.7336,11098.6848,6.567995071411133,0.1512,7.271285721799359e-05,158.07292457258433,Awake,PRE,Gatsby_08022013
11167.332,11167.4744,11167.3952,8.52474594116211,0.1424,0.00013429323735181242,164.3393433156339,Awake,PRE,Gatsby_08022013
11195.18,11195.3432,11195.2072,7.83419132232666,0.1632,9.68671593000181e-05,187.06740278200007,Awake,PRE,Gatsby_08022013
11273.6352,11273.6936,11273.672,5.091377258300781,0.0584,7.003186328802258e-05,186.74729139996026,Awake,PRE,Gatsby_08022013
11275.168,11275.2808,11275.2184,5.297733306884766,0.1128,6.96483111823909e-05,197.6846027172862,Awake,PRE,Gatsby_08022013
11307.1808,11307.2088,11307.1936,5.506820201873779,0.028,9.362678974866867e-05,177.47619137061065,Awake,PRE,Gatsby_08022013
