unit,n_spikes,base_rate,wilcoxon_p,kw_p,tone_responsive,frequency_tuned,best_frequency,mean_rate,rate_2000,rate_4000,rate_8000,rate_16000,rate_32000,session
72,16668,0.0,1.3924866205847446e-128,0.0016658825757029706,True,True,4000.0,2.4241839661471105,2.235851253784644,3.011106540518305,1.7658600392413344,2.3608492499385196,2.7472527472527473,LA8_ses-2
73,11850,0.0,2.4817760247048356e-74,3.0201074761484605e-05,True,True,4000.0,1.3737405217889975,1.5682012266128407,1.8099547511312215,1.5860039241334205,0.6557914583162554,1.2487512487512489,LA8_ses-2
74,115663,0.0,0.0,4.9217395414158096e-80,True,True,8000.0,23.421776176216678,20.712677587143855,21.456190867955574,29.07128842380641,26.871055004508566,18.997668997669,LA8_ses-2
75,52653,0.0,1.1709882451777213e-224,9.913089092219448e-24,True,True,32000.0,5.629439574538992,6.800714230261626,6.6310160427807485,4.054937867887508,2.918271989507337,7.742257742257742,LA8_ses-2
76,13555,0.0,2.2868336020646333e-96,2.848419671451463e-14,True,True,8000.0,1.7316653573243002,1.5060942473410448,2.2706705059646235,2.714192282537606,0.8853184687269449,1.282051282051282,LA8_ses-2
77,18302,0.0,1.046227249531637e-119,0.013120965393826971,True,True,4000.0,2.651033113357709,2.3445384675102865,3.307280954339778,2.5997383911052974,2.655955406180835,2.347652347652348,LA8_ses-2
78,47522,0.0,4.101533386017862e-297,6.240613993589834e-49,True,True,16000.0,7.919323327688547,6.241751416815465,7.042369395310572,7.668410725964683,12.01737847364538,6.626706626706627,LA8_ses-2
79,6169,0.0,5.20578505192596e-48,0.5663953066728526,True,False,8000.0,0.8207430431832826,0.7297570064435991,0.8556149732620321,0.9483322432962721,0.7541601770636936,0.8158508158508159,LA8_ses-2
80,5318,0.0,5.773876201947756e-44,0.1395894867587994,True,False,4000.0,0.7055052432795602,0.7763372408974458,0.8720691073632251,0.5068672334859385,0.6230018854004427,0.7492507492507492,LA8_ses-2
81,7381,0.0,5.246181029126581e-52,0.0011109868088140544,True,True,4000.0,0.9725917976112044,0.9781849235307818,1.4315096668037843,1.0464355788096795,0.5410279531109108,0.8658008658008658,LA8_ses-2
82,22787,0.0,1.8613064614761318e-146,5.807128404071158e-06,True,True,4000.0,3.135368658710353,2.981135005046192,3.76799670917318,3.629823413996076,1.9345848020329535,3.3633033633033635,LA8_ses-2
83,6871,0.0,5.692064345216059e-57,6.84587978363613e-07,True,True,8000.0,0.970885588077451,0.7763372408974458,0.9707939119703826,1.6023544800523217,0.6557914583162554,0.8491508491508492,LA8_ses-2
84,5533,0.0,2.2927458060866204e-53,3.5222644987392766e-09,True,True,8000.0,1.0350284002880552,0.8384442201692415,0.8556149732620321,1.7822105951602354,1.0328715468481022,0.666000666000666,LA8_ses-2
85,7798,0.0,7.345658516545604e-48,4.066333030589769e-10,True,True,4000.0,0.8625467539937969,0.6210697927179567,1.5795968737145207,0.7521255722694572,0.3442905156160341,1.0156510156510157,LA8_ses-2
86,4602,0.0,3.651296958043137e-32,0.00022833503230434553,True,True,2000.0,0.583321679462476,0.8384442201692415,0.7075277663512958,0.40876389797253104,0.24592179686859578,0.7159507159507159,LA8_ses-2
87,14980,0.0,1.5614090556820273e-84,0.07795647630397294,True,False,4000.0,1.767678551523493,1.9097896126077167,2.0896750308515015,1.8966644865925442,1.3771620624641363,1.5651015651015652,LA8_ses-2
88,9964,0.0,4.455797340070859e-76,0.00030233555656245393,True,True,2000.0,1.2860988654101189,1.7700489092461766,1.1846976552858905,1.3734466971877044,0.7869497499795066,1.3153513153513154,LA8_ses-2
89,23093,0.0,9.149234314229721e-140,8.033526638850148e-07,True,True,16000.0,2.824087493267475,3.182982687679528,2.9288358700123407,1.6350555918901242,3.4265103697024344,2.947052947052947,LA8_ses-2
90,14137,0.0,2.4455534853521135e-88,2.908057667580237e-10,True,True,4000.0,1.9797334065473648,2.1426907848769505,2.7313862607980255,2.2890778286461737,0.7541601770636936,1.9813519813519813,LA8_ses-2
91,7662,0.0,2.116669814716736e-76,0.00017117834047350819,True,True,16000.0,1.3127695673319841,1.319773309525658,1.3163307280954342,1.340745585349902,1.737847364538077,0.8491508491508492,LA8_ses-2
92,5801,0.0,3.832268110883332e-43,0.3108889222286714,True,False,8000.0,0.9243676973411439,0.8229174753512926,0.8720691073632251,1.357096141268803,0.7705549635216002,0.7992007992007992,LA8_ses-2
93,48843,0.0,0.0,5.748431744436908e-16,True,True,4000.0,6.869786834818058,7.778899153792408,8.21061291649527,6.540222367560497,4.426592343634724,7.392607392607393,LA8_ses-2
94,67412,0.0,0.0,0.0,True,True,16000.0,20.239875337472736,12.90272494371555,11.665981077745785,23.888162197514713,43.08549881137798,9.657009657009658,LA8_ses-2
95,14039,0.0,3.4397270017841386e-87,0.00019338702783635895,True,True,8000.0,1.6734722811166267,1.6303082058846363,1.727684080625257,2.0438194898626554,0.9508976145585704,2.0146520146520146,LA8_ses-2
96,11223,0.0,2.9856056248637253e-74,5.42077442489324e-08,True,True,4000.0,1.4869576183062432,1.5216209921589938,2.3858494446729743,1.340745585349902,0.7213706041478809,1.4652014652014653,LA8_ses-2
97,4495,0.0,2.132051567254105e-31,0.6770006984528814,True,False,32000.0,0.5793279958416779,0.6055430479000078,0.6088029617441382,0.539568345323741,0.3934748749897533,0.7492507492507492,LA8_ses-2
98,28985,0.0,1.458118170281151e-262,6.647648287075375e-149,True,True,16000.0,6.355778429669449,3.6177315425820975,4.245166598107774,6.245912361020274,14.689728666284122,2.9803529803529805,LA8_ses-2
99,8068,0.0,1.0744408611948241e-61,0.6868467988987592,True,False,8000.0,1.164070434326048,1.1645058613461687,1.1682435211846975,1.2589928057553956,1.2296089843429787,0.999000999000999,LA8_ses-2
100,1900,0.0,2.8112422427659737e-13,0.3440437153078847,True,False,2000.0,0.26568040091613965,0.3881686204487229,0.29617441382147264,0.1635055591890124,0.14755307812115748,0.333000333000333,LA8_ses-2
101,6761,0.0,2.7478464463249553e-36,8.715311513443244e-06,True,True,32000.0,0.7367484825805934,1.0092384131666796,0.9543397778691897,0.3597122302158273,0.31150094270022133,1.048951048951049,LA8_ses-2
102,28097,0.0,1.5780744197788759e-233,3.5014175640531747e-91,True,True,16000.0,5.474567509815342,4.580389721294931,4.705882352941177,3.499018966644866,10.558242478891712,4.029304029304029,LA8_ses-2
103,24359,0.0,6.790815321338249e-152,1.9327716580354498e-10,True,True,4000.0,3.2148552335425196,3.167455942861579,4.146441793500617,2.8776978417266186,1.8034265103697025,4.0792540792540795,LA8_ses-2
104,6351,0.0,2.6473144305328012e-67,1.1109996506506038e-11,True,True,16000.0,1.2572553680912513,0.7142302616256502,1.0695187165775402,1.4551994767822107,2.1149274530699236,0.9324009324009324,LA8_ses-2
105,3513,0.0,9.424441758054656e-31,0.004502415601472123,True,True,8000.0,0.5097245292021714,0.2794814067230805,0.6417112299465241,0.7521255722694572,0.4590540208213788,0.4162504162504162,LA8_ses-2
106,60830,0.0,0.0,0.0,True,True,16000.0,25.676028783602852,11.815852806459125,12.99876593994241,32.21059516023545,61.41487007131732,9.940059940059939,LA8_ses-2
107,8205,0.0,5.430564836376233e-159,0.0,True,True,16000.0,3.1228070801980783,1.5526744817948916,0.9214315096668038,1.5860039241334205,10.771374702844495,0.7825507825507826,LA8_ses-2
108,61328,0.0,0.0,0.0,True,True,16000.0,19.2807772725659,9.31604689076935,9.510489510489512,18.4434270765206,49.64341339454054,9.49050949050949,LA8_ses-2
109,11808,0.0,6.117553291081832e-72,0.00039171798854281074,True,True,32000.0,1.5024112447628135,1.4129337784333513,1.760592348827643,1.357096141268803,1.0000819739322895,1.9813519813519813,LA8_ses-2
110,4041,0.0,2.2595091143945556e-23,0.20953172945258386,True,False,32000.0,0.4726917406542759,0.4658023445384675,0.5758946935417524,0.2943100065402224,0.31150094270022133,0.7159507159507159,LA8_ses-2
111,2608,0.0,2.0865515669023527e-15,0.01881893670378977,True,True,32000.0,0.2665625881168716,0.3260616411769272,0.32908268202385854,0.04905166775670373,0.26231658332650215,0.36630036630036633,LA8_ses-2
112,1902,0.0,5.048161167197558e-16,0.7632744344228437,True,False,32000.0,0.29566257822506536,0.3571151308128251,0.24681201151789386,0.24525833878351863,0.2295270104106894,0.3996003996003996,LA8_ses-2
