session,subject,unit,direction,maze,track,mean_rate,si,si_null,p,sparsity,peak_rate,peak_loc,field_width,stability,n_spikes,is_place,testable
Achilles_10252013,Achilles,259,right,linear,1.6,11.069161167972586,0.23396248941602713,0.10621917134875457,0.0,0.7689679056393467,21.029637642300106,0.66,0.7199999999999999,0.9421415167558517,1174,True,True
Achilles_10252013,Achilles,263,right,linear,1.6,0.1697145664595456,2.6631036257133243,0.3546171915650641,0.0,0.13160818562075957,0.8768850518913288,0.94,0.15999999999999998,0.20166996306710677,18,False,False
Achilles_10252013,Achilles,268,right,linear,1.6,5.949438413109626,0.41739878410009057,0.4412794346842902,0.472,0.599535290817864,18.38021942441571,0.02,0.19999999999999996,0.9136366163301635,631,False,True
Achilles_10252013,Achilles,269,right,linear,1.6,0.14142880538295466,1.8005396873555124,0.9001288303304966,0.002,0.2686019592195095,0.564842779644409,0.86,0.11999999999999998,0.31339705257561157,15,False,False
Achilles_10252013,Achilles,270,right,linear,1.6,1.5274310981359105,0.8507317837257384,0.8782933173979522,0.512,0.4370655825842501,5.452942611199476,0.45999999999999996,0.31999999999999995,0.9276293588533404,162,False,True
Achilles_10252013,Achilles,271,right,linear,1.6,0.38657206804674277,0.7752335783592748,1.7561970535445857,0.998,0.5408281402308217,0.7558577850840725,0.30000000000000004,0.19999999999999996,0.2748528201934913,41,False,True
Achilles_10252013,Achilles,272,right,linear,1.6,0.22628608861272748,1.1738262027566422,0.4758835734157193,0.0,0.38356431590438606,0.6931404326491356,1.54,0.15999999999999998,-0.4788658094294718,24,False,False
Achilles_10252013,Achilles,6,left,linear,1.6,0.23170072610428893,1.3415862453017935,2.2642887164459253,0.996,0.3667467802034318,0.8060095184680481,0.02,0.15999999999999998,-0.33678520550107144,22,False,False
Achilles_10252013,Achilles,7,left,linear,1.6,2.2748798562966552,0.6777895325074207,0.18164642805059675,0.0,0.5265611716275795,6.323964147430761,0.26,0.43999999999999995,0.8632253112790806,216,True,True
Achilles_10252013,Achilles,9,left,linear,1.6,1.126908076961769,2.428239578806762,0.7656254599978868,0.0,0.11740808764791998,12.654117211978642,1.58,0.07999999999999999,0.9890126058851516,107,True,True
Achilles_10252013,Achilles,11,left,linear,1.6,0.6108473688203981,1.0415812126810553,0.6601217278478387,0.026,0.4305470434173902,1.7564859561341954,0.18,0.27999999999999997,0.6409521306607572,58,False,True
Achilles_10252013,Achilles,12,left,linear,1.6,1.3270132495063822,0.5734536549171116,0.2669040101032695,0.002,0.5844041142500555,3.2934135605568358,0.7,0.3999999999999999,0.5721410599522134,126,True,True
Achilles_10252013,Achilles,13,left,linear,1.6,0.24223257729084754,1.4170754690779646,0.5207370396670767,0.0,0.34511578561368994,0.5957371717537837,0.02,0.07999999999999999,-0.4549307949945353,23,False,False
Achilles_10252013,Achilles,16,left,linear,1.6,5.992623325151837,0.5587186109870148,0.3520159566356016,0.048,0.6064653789467174,12.969615900541662,1.1400000000000001,0.8799999999999999,0.9273468254469205,569,False,True
Achilles_10252013,Achilles,21,left,linear,1.6,0.41074219627578495,1.2904962770186166,0.1980087332940365,0.0,0.3380295562427356,1.399269573276502,0.54,0.27999999999999997,0.5192340425034285,39,True,True
Achilles_10252013,Achilles,23,left,linear,1.6,1.5903095291703468,1.1434380508508355,0.8276919341219198,0.134,0.36311381658716374,6.29776662952523,0.5,0.19999999999999996,0.8875929532575143,151,False,True
Achilles_10252013,Achilles,27,left,linear,1.6,3.886253087840119,0.7186474410850069,0.34529782998476255,0.004,0.5230486899845839,11.545812909891197,0.62,0.35999999999999993,0.8848110301915013,369,True,True
Achilles_10252013,Achilles,29,left,linear,1.6,0.12638221423870305,2.46197243501481,0.6060903256125733,0.0,0.16728449894982617,0.6566146930264429,0.5800000000000001,0.23999999999999996,0.18557992623036615,12,False,False
Achilles_10252013,Achilles,33,left,linear,1.6,4.012635302078822,0.8514210063129548,0.22643454313708594,0.0,0.38920643749981965,18.736620138748446,0.02,0.19999999999999996,0.9795502658264826,381,True,True
Achilles_10252013,Achilles,39,left,linear,1.6,12.037905906236468,0.2639796463499595,0.2870311319038242,0.518,0.7611535624345979,23.18135872871682,0.02,0.35999999999999993,0.905072264103066,1143,False,True
Achilles_10252013,Achilles,41,left,linear,1.6,1.1374399281483276,0.5004669199548334,0.7705185277113089,0.95,0.5915369467462908,3.636949289047757,0.02,0.15999999999999998,0.5965044455913304,108,False,True
Achilles_10252013,Achilles,50,left,linear,1.6,14.207467250667536,0.28582920118822075,0.4389964559892445,0.822,0.7428587489040771,29.103182710141315,0.74,0.5999999999999999,0.9141681502012602,1349,False,True
Achilles_10252013,Achilles,51,left,linear,1.6,2.8014724156245845,1.6777263194057221,0.6623889173143181,0.004,0.2405922698556817,16.624918280945487,0.74,0.23999999999999996,0.9694166240972449,266,True,True
Achilles_10252013,Achilles,52,left,linear,1.6,5.476562617010466,0.15322267695332384,0.31646483407045495,0.964,0.8478532937182643,8.470237062386166,1.22,0.7199999999999999,0.6649692138592469,520,False,True
Achilles_10252013,Achilles,53,left,linear,1.6,0.6635066247531911,0.9665614036806188,1.1348936913356165,0.708,0.42316638048237853,2.0482316286633018,0.26,0.27999999999999997,0.5561408924085149,63,False,True
Achilles_10252013,Achilles,54,left,linear,1.6,2.2222206003638623,0.4894826130546207,0.3037330539922625,0.024,0.5597881149633585,7.455011968986444,1.58,0.15999999999999998,0.8004791037372212,211,False,True
Achilles_10252013,Achilles,55,left,linear,1.6,2.380198368162241,0.38680457055964595,0.23988612849709184,0.066,0.6425175261230016,6.534882402043981,0.1,0.23999999999999996,0.783313425783228,226,False,True
Achilles_10252013,Achilles,56,left,linear,1.6,0.12638221423870305,2.2590459311228104,1.1869016260270464,0.036,0.18431025143629068,0.7280957656403515,0.18,0.23999999999999996,0.2147768648191778,12,False,False
Achilles_10252013,Achilles,57,left,linear,1.6,10.236959353334948,0.9795260521800402,0.5375027346552824,0.04,0.3819311063615554,40.44439149730416,1.46,0.35999999999999993,0.9896113327875903,972,False,True
Achilles_10252013,Achilles,58,left,linear,1.6,2.1379657908713936,1.1761713686209379,1.247125183720263,0.534,0.3472916213237162,8.65597090846195,0.54,0.31999999999999995,0.867365735061897,203,False,True
Achilles_10252013,Achilles,70,left,linear,1.6,0.13691406542526166,2.705795239066531,0.7473862777913091,0.0,0.1387059173873034,1.1641253711059374,0.02,0.11999999999999998,0.9199861648637406,13,True,False
Achilles_10252013,Achilles,74,left,linear,1.6,0.537124410514488,1.4786927688414175,1.0253089631138497,0.082,0.3101414948267758,2.201368290290388,0.62,0.27999999999999997,0.6992255253925287,51,False,True
Achilles_10252013,Achilles,76,left,linear,1.6,1.1374399281483276,1.143044700467046,0.43988036927399954,0.0,0.33024217468105194,5.722787305171336,1.58,0.11999999999999998,0.9052521897135268,108,True,True
Achilles_10252013,Achilles,79,left,linear,1.6,0.2843599820370819,1.3217334419437163,0.7806594599368716,0.012,0.3244564732163737,0.9932858955255033,0.86,0.19999999999999996,0.2644573087054282,27,False,False
Achilles_10252013,Achilles,82,left,linear,1.6,2.790940564438026,1.0946722763343613,0.3930541315355056,0.0,0.3934188714603418,9.191093827382089,0.74,0.3999999999999999,0.969041281552634,265,True,True
Achilles_10252013,Achilles,86,left,linear,1.6,0.8214843925515699,1.1801311940670114,1.1153328620531437,0.374,0.3414248090172997,3.991854832015191,1.58,0.15999999999999998,0.6537782826670129,78,False,True
Achilles_10252013,Achilles,92,left,linear,1.6,0.32648738678331624,1.828681384154329,0.5235961128728277,0.0,0.2313251058601604,1.9535318733659626,0.02,0.19999999999999996,0.8184096447836724,31,True,True
Achilles_10252013,Achilles,93,left,linear,1.6,0.04212740474623435,3.3159626687234875,0.5708731211149117,0.0,0.10020306729756472,0.2869994820174134,0.8200000000000001,0.07999999999999999,0.32597035347366365,4,False,False
Achilles_10252013,Achilles,94,left,linear,1.6,0.589783666447281,1.4286262735706683,0.7365666334911787,0.006,0.32217288908841946,2.54476036836322,0.74,0.31999999999999995,0.8414918949403617,56,True,True
Achilles_10252013,Achilles,95,left,linear,1.6,0.30542368441019907,3.124385967212929,0.4318375574604938,0.0,0.09084756805630051,3.472560766626863,0.02,0.11999999999999998,0.9121267910042795,29,True,False
Achilles_10252013,Achilles,96,left,linear,1.6,0.22116887491773035,2.4652701006864164,1.4021047432954283,0.042,0.12007660071858094,1.681423256940449,1.1,0.11999999999999998,0.8930977705778307,21,False,False
Achilles_10252013,Achilles,98,left,linear,1.6,0.8004206901784527,1.9815400033252524,1.8200107719722236,0.35,0.2059075169311584,5.158118697305375,1.58,0.15999999999999998,0.8662235682296329,76,False,True
Achilles_10252013,Achilles,101,left,linear,1.6,5.118479676667474,1.0636269070007844,0.36431000915742995,0.002,0.3882569599317282,20.23820037013733,0.30000000000000004,0.31999999999999995,0.927640308325457,486,True,True
Achilles_10252013,Achilles,103,left,linear,1.6,1.2848858447601479,0.7868221928609018,0.4983790600312568,0.048,0.45133832937246715,4.764730641296111,1.46,0.27999999999999997,0.899162126008402,122,False,True
Achilles_10252013,Achilles,109,left,linear,1.6,0.32648738678331624,1.244851643044679,0.2037926249821186,0.002,0.37463203834665904,0.9472254846531704,1.5,0.19999999999999996,0.47480021274548156,31,False,True
Achilles_10252013,Achilles,110,left,linear,1.6,0.2948918332236405,1.4241063872199526,0.3649680945886224,0.004,0.3019921256262055,0.998756421459128,1.5,0.15999999999999998,0.39088946030669813,28,False,False
Achilles_10252013,Achilles,112,left,linear,1.6,6.961553634315227,2.2301479830338993,0.41585892464961954,0.0,0.18178433323492738,46.81514622679036,0.06,0.19999999999999996,0.9953457869930726,661,True,True
Achilles_10252013,Achilles,113,left,linear,1.6,8.509735758739339,0.688043784418035,0.19095284788475891,0.0,0.5756649476091951,19.399251742090946,0.18,0.8399999999999999,0.9325050380678986,808,True,True
Achilles_10252013,Achilles,114,left,linear,1.6,3.401787933258424,1.4168181850137302,0.6905044375043414,0.016,0.3206342993960489,13.396448164785905,1.42,0.3999999999999999,0.9883400483529,323,False,True
