path,subject,session,unit,layer,depth_mm,n_spikes,box_half_cm,run_time_s,included,gridness,spacing_cm,orientation_deg,peak_rate,mean_rate,spatial_info,r_in,r_out,hd_mvl,hd_pref,gridness_p,gridness_shuf_95,hd_mvl_shuf_95,hd_p
sub-10884/sub-10884_ses-13070402_behavior+ecephys.nwb,10884,13070402,t2c1,MEC LIII,2.1999999999999997,860,51.143312577379035,575.3,True,0.37541158060102797,55.90169943749474,26.56505117707799,15.259429333354149,1.4924337081785057,1.04056003812273,10.0,24.0,,,0.195,0.6487839420398862,,
sub-10884/sub-10884_ses-13070402_behavior+ecephys.nwb,10884,13070402,t3c1,MEC LIII,2.1999999999999997,1681,51.143312577379035,575.3,True,0.449403316960394,57.063561052566634,25.463345061871593,19.6632767974903,2.917187283079149,0.6748383235591873,10.0,25.0,,,0.135,0.7691711557490052,,
sub-10884/sub-10884_ses-14070405_behavior+ecephys.nwb,10884,14070405,t1c1,MEC LIII,2.3,550,50.552719363784924,589.22,True,-0.21303357922034097,59.42432162002356,9.863696571751873,7.222413257107942,0.9324878776372362,1.0358588717926691,11.0,36.0,,,0.89,0.7949169186456001,,
sub-10884/sub-10884_ses-14070405_behavior+ecephys.nwb,10884,14070405,t1c2,MEC LIII,2.3,1162,50.552719363784924,589.22,True,-0.368126218356625,57.0087712549569,15.255118703057775,9.348270530001718,1.970092570571761,0.7290742200559786,12.0,39.0,,,0.97,0.7033995456693448,,
sub-10884/sub-10884_ses-14070405_behavior+ecephys.nwb,10884,14070405,t3c3,MEC LIII,2.3,656,50.552719363784924,589.22,True,-0.03479601295820198,67.0820393249937,26.56505117707799,12.458538590544538,1.1122037231455035,1.1648801020383857,11.0,24.0,,,0.67,0.603774265150733,,
sub-10884/sub-10884_ses-16070401_behavior+ecephys.nwb,10884,16070401,t1c1,MEC LIII,2.3,595,50.653598930700355,597.32,True,0.09784195099195693,55.339859052946636,1.6992442339936247,10.478207040710032,0.9957159113511822,1.3806235684025219,12.0,25.0,,,0.51,0.7375861397071433,,
sub-10884/sub-10884_ses-16070401_behavior+ecephys.nwb,10884,16070401,t2c1,MEC LIII,2.3,666,50.653598930700355,597.32,True,0.6712479243680777,54.829280498653276,35.772254682045826,5.6816030162715725,1.1145324318653569,0.583185257417379,10.0,26.0,,,0.055,0.725156591631636,,
sub-10884/sub-10884_ses-19070401_behavior+ecephys.nwb,10884,19070401,t1c1,MEC LIII,2.3,466,51.02271365309059,582.7,True,0.05194209171786958,41.23105625617661,16.636577041616704,6.394638107571021,0.7985194831906917,0.7931633702047454,10.0,27.0,,,0.445,0.5337006573910921,,
sub-10884/sub-10884_ses-21070405_behavior+ecephys.nwb,10884,21070405,t3c1,MEC LIII,2.4,809,51.74551810116484,597.1,True,0.7233481909115872,43.66062299143245,26.185925165709634,8.848238601396199,1.3537936342955608,0.6384847817554982,10.0,19.0,,,0.07,0.7704809448816694,,
sub-10884/sub-10884_ses-21070405_behavior+ecephys.nwb,10884,21070405,t3c2,MEC LIII,2.4,469,51.74551810116484,597.1,True,-0.0769650390603083,57.98706752371601,16.504266719204182,3.216102770070717,0.7848321563468702,0.3447831477458738,12.0,34.0,,,0.8,0.6781426095140373,,
sub-10884/sub-10884_ses-21070405_behavior+ecephys.nwb,10884,21070405,t3c3,MEC LIII,2.4,977,51.74551810116484,597.1,True,0.42362322181828244,45.0,30.0,3.516994887242904,1.6349275410466786,0.05499020444185231,10.0,28.0,,,0.15,0.6417965403213463,,
sub-10884/sub-10884_ses-24070401_behavior+ecephys.nwb,10884,24070401,t3c3,MEC LIII,2.4,673,51.85521553411863,596.52,True,0.5399389562890501,60.878978309429606,19.179008025810703,9.04785805991236,1.1277943492988773,1.1848377714206655,12.0,27.0,,,0.08,0.6082830988109921,,
sub-10884/sub-10884_ses-31070404_behavior+ecephys.nwb,10884,31070404,t4c1,MEC LIII,2.4,1612,52.122371169070895,597.02,True,0.4277323584052386,61.74544517614234,21.370622269343183,7.835169039793272,2.6988113175983024,0.1517125909502013,15.0,33.0,,,0.1,0.5910273895274807,,
sub-10938/sub-10938_ses-08100401_behavior+ecephys.nwb,10938,08100401,t7c2,MEC LIII,2.6,431,51.0902123588817,595.04,True,-0.09532272292490156,67.26812023536854,2.6501242199301203,3.1749042484493404,0.7238101636868818,0.14478387557581301,18.0,33.0,,,0.785,0.6907646312774305,,
sub-10938/sub-10938_ses-08100401_behavior+ecephys.nwb,10938,08100401,t7c3,MEC LIII,2.6,348,51.0902123588817,595.04,True,0.9239248830741174,56.40257086339239,46.97493401088198,1.890672399208887,0.5844221275244429,0.341351407069959,11.0,26.0,,,0.01,0.6448404134916083,,
sub-10938/sub-10938_ses-08100401_behavior+ecephys.nwb,10938,08100401,t7c4,MEC LIII,2.6,1706,51.0902123588817,595.04,True,0.08765391739823881,50.24937810560445,42.87890360333855,22.36863287235509,2.8650119240135044,0.6452789385857844,11.0,27.0,,,0.57,0.7312595161226864,,
sub-10938/sub-10938_ses-12100406_behavior+ecephys.nwb,10938,12100406,t7c1,MEC LIII,2.6999999999999997,1404,51.224839724932046,592.92,True,1.0693704448041728,54.829280498653276,46.97493401088198,13.921389814993882,2.3652291104605014,0.5476240230927322,11.0,26.0,,,0.0,0.5278212701891303,,
sub-10938/sub-10938_ses-12100406_behavior+ecephys.nwb,10938,12100406,t7c2,MEC LIII,2.6999999999999997,1399,51.224839724932046,592.92,True,0.07944673863680825,47.762432936357,6.009005957494525,7.363566716856505,2.3568059298676935,0.2700084548163692,10.0,15.0,,,0.455,0.5970018161545886,,
sub-10938/sub-10938_ses-12100406_behavior+ecephys.nwb,10938,12100406,t7c3,MEC LIII,2.6999999999999997,3112,51.224839724932046,592.92,True,0.08222171617166757,32.5,0.0,7.285368599204835,5.242587600963732,0.014456475942970498,9.0,33.0,,,0.52,0.6795581427341904,,
sub-10938/sub-10938_ses-12100406_behavior+ecephys.nwb,10938,12100406,t7c4,MEC LIII,2.6999999999999997,2293,51.224839724932046,592.92,True,-0.28183587100537966,54.886246000250374,27.72435568542238,9.128865054644404,3.8628706198617735,0.08600034917142589,10.0,22.0,,,0.915,0.6163011216570683,,
