session,area,task,n_units,acc,sd,chance,kind
743475441,VISp,orientation,20,0.5079166666666667,0.02003035890286985,0.25,observed
743475441,VISp,orientation,40,0.5525,0.006123724356957964,0.25,observed
743475441,VISp,orientation,5,0.24645833333333333,0.01451621459303737,0.25,shuffled
743475441,VISp,orientation,10,0.255625,0.022957350251184377,0.25,shuffled
743475441,VISp,orientation,20,0.25354166666666667,0.01822767851068502,0.25,shuffled
743475441,VISp,orientation,40,0.2504166666666667,0.01847953071794725,0.25,shuffled
743475441,VISl,direction,5,0.46729166666666666,0.06733486745364542,0.125,observed
743475441,VISl,direction,10,0.6116666666666667,0.04631564410530084,0.125,observed
743475441,VISl,direction,5,0.11833333333333333,0.012936812246883351,0.125,shuffled
743475441,VISl,direction,10,0.12375,0.013404756618454507,0.125,shuffled
743475441,VISl,orientation,5,0.8354166666666667,0.07221567812232096,0.25,observed
743475441,VISl,orientation,10,0.9497916666666667,0.027844278037766488,0.25,observed
743475441,VISl,orientation,5,0.2366666666666667,0.012190615698606518,0.25,shuffled
743475441,VISl,orientation,10,0.2554166666666667,0.036521968274816005,0.25,shuffled
743475441,VISrl,direction,5,0.27437500000000004,0.04507661302345893,0.125,observed
743475441,VISrl,direction,10,0.39729166666666665,0.05894876247405218,0.125,observed
743475441,VISrl,direction,20,0.5872916666666668,0.055689725139482546,0.125,observed
743475441,VISrl,direction,40,0.7264583333333332,0.03039596898530391,0.125,observed
743475441,VISrl,direction,5,0.12583333333333335,0.012801909579781006,0.125,shuffled
743475441,VISrl,direction,10,0.12645833333333334,0.01579903082470567,0.125,shuffled
743475441,VISrl,direction,20,0.12083333333333332,0.014117561955081183,0.125,shuffled
743475441,VISrl,direction,40,0.1333333333333333,0.006614378277661479,0.125,shuffled
743475441,VISrl,orientation,5,0.46062499999999995,0.057002299539385036,0.25,observed
743475441,VISrl,orientation,10,0.6347916666666666,0.0879371520367434,0.25,observed
743475441,VISrl,orientation,20,0.8302083333333333,0.020504699664548483,0.25,observed
743475441,VISrl,orientation,40,0.9416666666666667,0.017118865486811803,0.25,observed
743475441,VISrl,orientation,5,0.25916666666666666,0.01643590243609669,0.25,shuffled
743475441,VISrl,orientation,10,0.2452083333333333,0.025731486062798615,0.25,shuffled
743475441,VISrl,orientation,20,0.24604166666666666,0.01611455303272307,0.25,shuffled
743475441,VISrl,orientation,40,0.26437499999999997,0.014140601020544439,0.25,shuffled
743475441,VISam,direction,5,0.2664583333333333,0.02779435269378776,0.125,observed
743475441,VISam,direction,10,0.34750000000000003,0.05174053858758463,0.125,observed
743475441,VISam,direction,20,0.5627083333333334,0.04373958209295862,0.125,observed
743475441,VISam,direction,40,0.6977083333333334,0.026377830285214027,0.125,observed
743475441,VISam,direction,5,0.12604166666666666,0.014480290723754287,0.125,shuffled
743475441,VISam,direction,10,0.12979166666666664,0.018790465593545636,0.125,shuffled
743475441,VISam,direction,20,0.11708333333333333,0.012822235461190925,0.125,shuffled
743475441,VISam,direction,40,0.11979166666666666,0.014029668464444277,0.125,shuffled
743475441,VISam,orientation,5,0.4395833333333333,0.04757851697749501,0.25,observed
743475441,VISam,orientation,10,0.5685416666666666,0.0832434410996513,0.25,observed
743475441,VISam,orientation,20,0.7939583333333333,0.04368397796166868,0.25,observed
743475441,VISam,orientation,40,0.8812500000000001,0.020099578491987208,0.25,observed
743475441,VISam,orientation,5,0.255625,0.014998553170963588,0.25,shuffled
743475441,VISam,orientation,10,0.2547916666666667,0.015864826136246596,0.25,shuffled
743475441,VISam,orientation,20,0.25020833333333337,0.010815289460347837,0.25,shuffled
743475441,VISam,orientation,40,0.2579166666666667,0.01925252508691321,0.25,shuffled
743475441,LP,direction,5,0.16729166666666667,0.045931240125261646,0.125,observed
743475441,LP,direction,10,0.20291666666666666,0.028960581447508568,0.125,observed
743475441,LP,direction,20,0.240625,0.0210478538758178,0.125,observed
743475441,LP,direction,40,0.32333333333333336,0.03042522710588113,0.125,observed
743475441,LP,direction,80,0.4335416666666666,0.02540556451514775,0.125,observed
743475441,LP,direction,5,0.13374999999999998,0.011659223816361019,0.125,shuffled
743475441,LP,direction,10,0.12541666666666668,0.014475793971700174,0.125,shuffled
