,session,area,gosi,osi,gdsi,dsi,p,pref_ori,pref_dir,waveform_duration,sg_gosi,sg_pref_ori,pref_tf,pref_sf,peak_rate,blank_rate,group,responsive
950955784,715093703,VISrl,0.10030033687645862,0.21932240302172815,0.047762812068045564,0.2043000320962287,0.12387612387612387,44.170131449719435,293.08063022241777,0.247236180904523,0.05139155048303117,88.7896639298397,1.0,0.32,3.730197636138523,3.4970796058240143,HVA,False
950955833,715093703,VISrl,0.2130949752986478,0.35131675627540726,0.06882679789306072,0.019446899242375686,0.000999000999000999,11.373648505349404,154.9094590939134,0.769179229480737,0.1905851909928331,27.49192564553965,2.0,0.08,16.586170199196314,10.774320706666346,HVA,True
950955844,715093703,VISrl,0.10900480688467036,0.2172768396469341,0.02207307227077073,0.032597111650960076,0.000999000999000999,44.255884820084425,331.4288130516842,0.315912897822446,0.10671843796823222,52.985190826293376,15.0,0.04,113.11970691802277,53.138953735047885,HVA,True
950955897,715093703,VISrl,0.4534992608196382,0.5392636360065897,0.5007320583388929,0.7976192862171771,0.000999000999000999,111.78760004243426,277.5721283420771,1.29112227805695,0.05239240546112487,107.38229095850384,4.0,0.32,5.029111045504705,1.6652780746596638,HVA,True
950955940,715093703,VISrl,0.13175771836185748,0.1578902253689972,0.22355413600242868,0.7499951602292378,0.8441558441558441,80.78249696632516,170.57447276938117,0.535678391959799,0.3516502092929463,23.945374027499444,1.0,0.02,0.2331381634081353,0.16652844806895864,HVA,False
950955951,715093703,VISrl,0.6035329575744888,0.8876091677961593,0.07714545406788913,0.08321286953372888,0.000999000999000999,106.78444234518685,110.71024036969796,0.576884422110553,0.4994148313707858,110.74987180830924,8.0,0.04,25.14558317858258,1.4487913417619234,HVA,True
950955965,715093703,VISrl,0.04603808382005368,0.034332818410954626,0.11843856621423056,0.2890796385821069,0.4875124875124875,148.04106478408693,177.24101326867114,0.535678391959799,0.09804993466333972,112.51850468792358,2.0,0.16,30.074957187939514,27.910026132317093,HVA,True
950955974,715093703,VISrl,0.15437199809030241,0.22938942887183605,0.07031958161584459,0.1797089234087488,0.000999000999000999,164.440595472933,319.83604030611446,0.549413735343384,0.17511146229201932,152.77385056067774,2.0,0.04,22.847643673581373,2.4979228942194984,HVA,True
950956019,715093703,VISrl,0.11606724962162479,0.03975239834915393,0.11996884811155305,0.30573413147193973,0.01898101898101898,51.478380959521004,18.46587154168962,0.50820770519263,0.023041530064118212,19.99205817081531,2.0,0.32,6.8276495655840215,7.643611756301741,HVA,False
950956030,715093703,VISrl,0.11123865220715087,0.19999712330360744,0.10777232204483352,0.16856895869710048,0.002997002997002997,98.05943755680612,295.66096510977104,0.549413735343384,0.07203155251060617,73.9372980566313,2.0,0.16,15.353792794909896,10.424638170188746,HVA,True
950956043,715093703,VISrl,0.052203397669676764,0.09997019118669684,0.020275896653144918,0.010199992542287397,0.03896103896103896,7.052512692872359,80.5739873527057,0.494472361809045,0.05189720360578258,40.92399635994475,1.0,0.08,28.043363866343874,20.382976635852735,HVA,True
950956100,715093703,VISrl,0.47393091856819725,0.6854746042179538,0.4359833458320888,0.612499428620266,0.000999000999000999,95.01119699670552,266.378970403582,1.23618090452261,0.03528818026179914,112.55976527135587,4.0,0.32,4.296375558402684,2.048287931239105,HVA,True
950956148,715093703,VISrl,0.15203901450596163,0.20465458040779222,0.017074429163077574,0.022100963425090436,0.001998001998001998,69.61302969435513,203.0251275468533,0.521943048576214,0.10210113170766229,78.68772570368057,1.0,0.04,18.48448685392258,14.088241149145093,HVA,True
950956205,715093703,VISrl,0.34053996222159516,0.5518220228841334,0.36051498029165313,0.6057692857429213,0.001998001998001998,94.60773440914407,272.28093018595143,0.439530988274707,0.35929781331084254,95.42140697050597,4.0,0.02,5.561988102963463,1.032471635994636,HVA,True
950956259,715093703,VISrl,0.2886194936214255,0.41935220825088326,0.23450386944690446,0.27272931639720294,0.017982017982017984,59.99076297451075,356.75927842800434,0.563149078726968,0.1441739124902447,114.07618663894574,2.0,0.16,1.8651029777988486,2.231474382146963,HVA,False
950956297,715093703,VISrl,0.045426854842449134,0.066107440617537,0.06310720547147579,0.10126783071353264,0.6833166833166833,45.48666461783521,138.5325414792041,0.673031825795645,0.12029088241144123,121.21098995112688,1.0,0.04,8.692691812498623,4.279755408267996,HVA,True
950956336,715093703,VISrl,0.2542406193770305,0.5151534442744752,0.15476461295887015,0.1509680510999402,0.001998001998001998,178.6960130702835,34.68162079653422,0.686767169179229,0.2326463206837537,149.2011017125546,2.0,0.08,14.85428132789754,3.097408585047221,HVA,True
950956386,715093703,VISrl,0.20994430143030665,0.12945332535520956,0.18087719563542193,0.42857360988308263,0.013986013986013986,55.75919269214831,242.57386511368625,0.714237855946399,0.09809667171508255,174.38544217092172,2.0,0.08,7.160657542940734,0.8992451337437327,HVA,True
950956399,715093703,VISrl,0.5638499073012166,0.7413776848937326,0.4816578371254324,0.7623768174839718,0.013986013986013986,93.9716797364395,270.58513639158423,0.65929648241206,0.5273726075205085,90.99880920849104,1.0,0.02,2.964175094630266,0.2664438530158043,HVA,True
950956413,715093703,VISrl,0.24486785332717895,0.4956260247728162,0.06166596634324233,0.2868674898594458,0.000999000999000999,93.13990953680201,277.3557784753873,0.700502512562814,0.07062875598264567,121.14412812984833,4.0,0.02,13.22218789741428,2.9641859097582963,HVA,True
