event,start,end,n_active,n_bins,wc,p,abs_wc,significant
1673,25027.8216,25027.9016,19,5,0.5515159934183944,0.13373253493013973,0.5515159934183944,False
1676,25029.1168,25029.244,29,7,-0.0943252396189715,0.7764471057884231,0.0943252396189715,False
1689,25047.988,25048.12,31,7,0.6845792934639217,0.007984031936127744,0.6845792934639217,True
1720,25087.5912,25087.6992,23,6,-0.016873423429464195,0.9481037924151696,0.016873423429464195,False
1724,25096.4776,25096.5904,32,6,-0.3155457661528078,0.36127744510978044,0.3155457661528078,False
1728,25109.2424,25109.3408,19,5,0.1080855346043902,0.7884231536926147,0.1080855346043902,False
1729,25109.5928,25109.7472,22,8,0.27726245327245846,0.3093812375249501,0.27726245327245846,False
1733,25121.7888,25121.9112,23,7,-0.4360169650302522,0.059880239520958084,0.4360169650302522,False
1744,25143.3272,25143.4608,28,7,-0.2246984669775711,0.49500998003992014,0.2246984669775711,False
1747,25147.2976,25147.5248,45,12,0.29082365546189176,0.1936127744510978,0.29082365546189176,False
1769,25187.2136,25187.3728,34,8,0.22062445270985612,0.4810379241516966,0.22062445270985612,False
1774,25195.0072,25195.104,25,5,-0.08518423879108473,0.7984031936127745,0.08518423879108473,False
1793,25223.9872,25224.0864,33,5,0.7957009711529499,0.011976047904191617,0.7957009711529499,True
1805,25239.1704,25239.2504,25,5,-0.0644629081937578,0.8622754491017964,0.0644629081937578,False
1813,25263.8944,25264.0944,39,11,0.029765910930412205,0.8522954091816367,0.029765910930412205,False
1815,25267.6112,25267.7088,30,5,0.8602555676863994,0.007984031936127744,0.8602555676863994,True
1827,25277.9072,25278.0264,25,6,-0.6577654620161878,0.07385229540918163,0.6577654620161878,False
1839,25300.0544,25300.148,23,5,0.7271128666662281,0.015968063872255488,0.7271128666662281,True
1862,25336.2944,25336.392,23,5,-0.6278297532370574,0.06187624750499002,0.6278297532370574,False
1875,25370.3944,25370.5856,40,10,-0.3653664153035274,0.13373253493013973,0.3653664153035274,False
1878,25376.3432,25376.4464,22,6,0.3778706104335416,0.3013972055888224,0.3778706104335416,False
1881,25383.452,25383.5544,21,6,0.47630560545079464,0.15768463073852296,0.47630560545079464,False
1884,25389.8184,25389.9736,40,8,0.19149110815222514,0.5469061876247505,0.19149110815222514,False
1897,25435.412,25435.5024,32,5,-0.019946037661807164,0.9441117764471058,0.019946037661807164,False
1909,25451.0376,25451.1864,28,8,-0.024569365702529006,0.9221556886227545,0.024569365702529006,False
1924,25468.4624,25468.6256,40,9,0.42291001469509837,0.1157684630738523,0.42291001469509837,False
1932,25482.3024,25482.4232,30,7,-0.24352458578309807,0.40119760479041916,0.24352458578309807,False
1941,25515.0576,25515.2152,36,8,0.8928514875992637,0.001996007984031936,0.8928514875992637,True
1944,25521.6664,25521.8216,32,8,0.5951757065321778,0.011976047904191617,0.5951757065321778,True
1949,25532.06,25532.1992,26,7,-0.1686359018397887,0.6007984031936128,0.1686359018397887,False
1959,25546.9104,25547.1192,34,11,-0.2644590420748663,0.3932135728542914,0.2644590420748663,False
1977,25569.1008,25569.2192,23,6,0.2117090725279304,0.41916167664670656,0.2117090725279304,False
1985,25610.4408,25610.5768,34,7,0.6520439058787086,0.017964071856287425,0.6520439058787086,True
1986,25612.0568,25612.1448,30,5,0.017319011877416506,0.9600798403193613,0.017319011877416506,False
1988,25616.1904,25616.2856,24,5,0.6597021729913354,0.17365269461077845,0.6597021729913354,False
1992,25629.5112,25629.6456,24,7,0.39190071160006196,0.17964071856287425,0.39190071160006196,False
1993,25630.0016,25630.1104,32,6,0.5420145985967973,0.12974051896207583,0.5420145985967973,False
2008,25653.7984,25653.9048,32,6,0.3050596782292325,0.2774451097804391,0.3050596782292325,False
2022,25666.148,25666.248,19,6,0.43525373434420994,0.021956087824351298,0.43525373434420994,True
2023,25667.4664,25667.552,25,5,0.45899122803260844,0.25349301397205587,0.45899122803260844,False
2037,25700.416,25700.5368,33,7,-0.16208698054513873,0.48902195608782434,0.16208698054513873,False
2059,25827.4376,25827.5464,29,6,0.9037165979847461,0.001996007984031936,0.9037165979847461,True
2061,25830.168,25830.2664,32,5,-0.0673817115730983,0.8522954091816367,0.0673817115730983,False
