session,unit,n_cooled,n_normal,rate_cooled,rate_normal,mrl_cooled_matched,mrl_normal_matched,mrl_cooled,mrl_normal,pref_cooled,pref_normal,rayleigh_p_cooled
Peter-MS21-180628-155921-concat,1697,6390,38067,25.924098782581602,30.13485698796971,0.23777428876649592,0.13113768346360966,0.23777428876649595,0.09547185149783775,3.80802205722022,3.7504314154005516,1.0969398981723972e-156
Peter-MS21-180628-155921-concat,1711,2332,15732,9.460876112829467,12.453872649138084,0.18528043813763317,0.11058921690506378,0.18528043813763315,0.08774286730864839,4.073750109082397,4.531918325781631,9.256315089413685e-36
Peter-MS21-180628-155921-concat,1715,2153,13487,8.734676788559968,10.676670507178066,0.31049496320459474,0.18658330772756612,0.31049496320459485,0.14863826314176845,3.4081539617036394,3.3216218289584094,5.7794152921323484e-90
Peter-MS21-180628-155921-concat,1738,818,4463,3.3186092025276603,3.5330303606091578,0.25956246228967095,0.11736497971021498,0.260141821387513,0.07928943258772386,1.1671061013046113,0.8317886233888062,4.283085835799024e-25
Peter-MS21-180628-155921-concat,1745,1289,2943,5.229446530633441,2.3297576408856715,0.0663790258758449,0.034247719723724875,0.06726972869595628,0.021677297696925984,5.822275916377333,4.6438813028783565,0.002916560354976236
Peter-MS21-180628-155921-concat,1752,1670,7413,6.775155706871874,5.8683293890198716,0.44034070379903045,0.24054212949358905,0.44002858287915775,0.21927545505792465,1.7040580286429543,1.4458806059987421,3.8845275076879695e-139
Peter-MS21-180628-155921-concat,1761,391,2008,1.5862789708903609,1.589586592897869,0.17221410156289682,0.197836921486505,0.17255560564341077,0.1276035368243501,5.598033002934761,5.121018578012997,8.169227422161385e-06
Peter-MS21-180628-155921-concat,1769,514,1766,2.085287445109068,1.398012909889261,0.03745166796326417,0.1218649987650975,0.036460114108024834,0.09767761309764413,0.2642985966767442,4.029516425820416,0.5051787652867504
Peter-MS21-180628-155921-concat,1774,359,2993,1.4564556280041934,2.3693389803502596,0.020156087536778326,0.09194516900839926,0.020156087536778323,0.05054419280963196,1.3120925165665898,4.740813071817637,0.864449936654195
Peter-MS21-180628-155921-concat,1797,202,1304,0.8195098519689333,1.0322813332364646,0.18929688477892978,0.10847395358085336,0.19220204302899913,0.07191180307930539,5.715135504061552,5.638646965692371,0.0005455819827713764
Peter-MS21-180628-155921-concat,1831,216,1091,0.8763075644816316,0.8636648271173182,0.09733474485129237,0.11181267725968289,0.09720124694786857,0.04460346934344195,5.272675010314033,0.12231051335571091,0.12991416335138356
Peter-MS21-180628-155921-concat,1863,449,2513,1.8215837798715397,1.9893581214902114,0.04199422326634992,0.09026289765032061,0.041178117376702135,0.04315180740516343,4.356623172641381,4.611647393478372,0.4672850827694521
Peter-MS21-180628-155921-concat,1903,230,1673,0.93310527699433,1.3243916184851268,0.11744764341169216,0.08901622075132476,0.11638686635385868,0.04132808391999302,5.449315954165994,5.848951258783428,0.04418549800560831
Peter-MS21-180628-155921-concat,1908,547,3607,2.219167767460428,2.8553978289754047,0.10458098889556366,0.12142223900432125,0.10458098889556366,0.056202197888968936,3.0007434041964944,4.555070306980005,0.002494690541784646
Peter-MS21-180628-155921-concat,1940,428,2306,1.7363872111024923,1.8254913761068157,0.13849435003909188,0.19413755228683027,0.14219491927322422,0.11958530180142944,5.1796858381112045,5.463990047509754,0.00016861366988131133
Peter-MS21-180628-155921-concat,1947,597,2230,2.422016740720065,1.7653277401206413,0.11303914577989707,0.0635118960791305,0.11377098927874048,0.03095001324317764,5.124305249446982,4.801109874958141,0.0004324117869287663
Peter-MS21-180628-155921-concat,1953,1046,2991,4.243600520591605,2.367755726771676,0.05671106415103272,0.08682149346618089,0.055565984482250155,0.029105270756947608,3.832147244828704,1.609556765745065,0.03953544287772898
Peter-MS21-180628-155921-concat,1954,5099,28974,20.686538293017776,22.936594592939667,0.22168953565673782,0.1269755724697201,0.22168953565673782,0.09473170545443214,3.291697049020111,3.5730897497551792,3.7139068122955155e-109
Peter-MS21-180628-155921-concat,1956,427,1978,1.7323302316372995,1.565837789219116,0.09200887744968636,0.08429102239934891,0.08773677018313604,0.042216862280148114,4.375345790597942,3.2149851110065986,0.037275433661511474
