session,center,auc,null_mean,z
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.8,0.5317039467521112,0.5051341381876167,0.3730971854452387
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.75,0.45570438839792793,0.4875734236022711,-0.45073558366185257
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.7,0.5158843309858088,0.4921446969214643,0.32439909409693823
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.65,0.5530416940602124,0.4898017206054168,0.7979103755051529
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.6,0.5407317532187583,0.49375517338991864,0.6284658936960305
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.55,0.5413584712165863,0.4921364851926942,0.6585793857880717
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.5,0.5791929305403162,0.5008268379805699,1.089056125720809
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.45,0.5676981358044066,0.4970563641622319,1.0017124738513257
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.4,0.5402028570332019,0.48594212926670016,0.8139660611319018
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.35,0.4673313847124898,0.48607678672386617,-0.2683640398144212
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.3,0.49764062560765937,0.4894645530372303,0.11864754037994817
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.25,0.5080011257578855,0.4859327758101088,0.3199225358739538
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.2,0.5067094199253516,0.5016545749455087,0.07259160677903911
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.15,0.5551123231792893,0.4904818441083691,0.9924679170922105
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.1,0.5447908174125026,0.5067411546727438,0.5034159656860486
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,-0.05,0.5564238530318255,0.5028447090652223,0.7618518952526956
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.0,0.5734967023186403,0.48592289468958627,1.2795492663812693
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.05,0.6535149825024146,0.49837339743354453,2.1840699260976786
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.1,0.6395658961562903,0.5034006884856062,2.0496812929483132
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.15,0.6778720936383764,0.4947543419519976,2.359418487631306
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.2,0.7321636950280154,0.4947934875001556,3.1874213466848778
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.25,0.696387049838883,0.5088933394356623,2.7789649142687356
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.3,0.6260142056021366,0.4991690228507361,1.9215288941962811
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.35,0.620266969532393,0.5097449418547195,1.844599877219244
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.4,0.6199563951954443,0.4847750626322944,2.050693314175511
26aa51ff-968c-42e4-85c8-8ff47d19254d,-1.1,0.5006628867463908,0.5378650957861211,-0.47164245621879564
26aa51ff-968c-42e4-85c8-8ff47d19254d,-1.05,0.4930034089818926,0.5422092363105331,-0.5478043491703986
26aa51ff-968c-42e4-85c8-8ff47d19254d,-1.0,0.49060529261605085,0.535702685575511,-0.5913252830558938
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.95,0.4918520320800034,0.5336969838150075,-0.6305138358016845
26aa51ff-968c-42e4-85c8-8ff47d19254d,-0.9,0.4240015377899599,0.5199267009748817,-1.3505511054552084
