session,group,n_units,rep,accuracy,shuffled
719161530,visual cortex,1,0,0.677296918767507,0.27088235294117646
719161530,visual cortex,1,1,0.2692296918767507,0.2975490196078431
719161530,visual cortex,1,2,0.28929971988795516,0.24247899159663863
719161530,visual cortex,1,3,0.34787114845938377,0.21235294117647058
719161530,visual cortex,1,4,0.4064005602240896,0.2726470588235294
719161530,visual cortex,1,5,0.2407282913165266,0.22252100840336136
719161530,visual cortex,1,6,0.3462324929971989,0.2608683473389356
719161530,visual cortex,1,7,0.2608543417366947,0.2692296918767507
719161530,visual cortex,1,8,0.3576890756302521,0.22249299719887955
719161530,visual cortex,1,9,0.3629551820728291,0.27254901960784317
719161530,visual cortex,1,10,0.4883053221288516,0.270952380952381
719161530,visual cortex,1,11,0.30771708683473387,0.24247899159663863
719161530,visual cortex,1,12,0.34277310924369747,0.2908683473389356
719161530,visual cortex,1,13,0.3946918767507003,0.2123389355742297
719161530,visual cortex,1,14,0.24239495798319327,0.23417366946778712
719161530,visual cortex,2,0,0.4965406162464986,0.24064425770308126
719161530,visual cortex,2,1,0.6255042016806723,0.24245098039215685
719161530,visual cortex,2,2,0.4330252100840336,0.21061624649859945
719161530,visual cortex,2,3,0.5652100840336134,0.24407563025210086
719161530,visual cortex,2,4,0.5199719887955182,0.2809243697478992
719161530,visual cortex,2,5,0.43490196078431376,0.2357843137254902
719161530,visual cortex,2,6,0.5417086834733893,0.2608683473389356
719161530,visual cortex,2,7,0.44490196078431377,0.2541596638655462
719161530,visual cortex,2,8,0.5535014005602241,0.25421568627450986
719161530,visual cortex,2,9,0.3227170868347339,0.2558403361344538
719161530,visual cortex,2,10,0.5066526610644257,0.25585434173669463
719161530,visual cortex,2,11,0.37299719887955185,0.27593837535014004
719161530,visual cortex,2,12,0.32775910364145655,0.24761904761904763
719161530,visual cortex,2,13,0.43477591036414565,0.22420168067226892
719161530,visual cortex,2,14,0.31606442577030813,0.28093837535014005
719161530,visual cortex,4,0,0.6220868347338936,0.2442577030812325
719161530,visual cortex,4,1,0.5334033613445378,0.25582633053221293
719161530,visual cortex,4,2,0.7842717086834734,0.23417366946778712
719161530,visual cortex,4,3,0.6203921568627451,0.22733893557422968
719161530,visual cortex,4,4,0.4147899159663866,0.25250700280112043
719161530,visual cortex,4,5,0.7926610644257703,0.2742577030812325
719161530,visual cortex,4,6,0.556764705882353,0.24574229691876748
719161530,visual cortex,4,7,0.39467787114845937,0.2625070028011205
719161530,visual cortex,4,8,0.5852941176470587,0.2725770308123249
719161530,visual cortex,4,9,0.6353921568627451,0.28592436974789914
719161530,visual cortex,4,10,0.7825210084033614,0.2642997198879552
719161530,visual cortex,4,11,0.7407703081232493,0.2559383753501401
719161530,visual cortex,4,12,0.5770168067226891,0.23743697478991596
719161530,visual cortex,4,13,0.4048459383753501,0.21745098039215688
719161530,visual cortex,4,14,0.7156302521008404,0.24064425770308123
719161530,visual cortex,8,0,0.5937114845938376,0.2791176470588236
719161530,visual cortex,8,1,0.8227591036414565,0.2157703081232493
719161530,visual cortex,8,2,0.8009803921568628,0.25934173669467786
719161530,visual cortex,8,3,0.6872689075630253,0.2541596638655462
719161530,visual cortex,8,4,0.6438375350140056,0.23746498599439775
719161530,visual cortex,8,5,0.5569047619047619,0.21906162464985995
719161530,visual cortex,8,6,0.603641456582633,0.267577030812325
719161530,visual cortex,8,7,0.5770308123249299,0.21733893557422967
719161530,visual cortex,8,8,0.6238655462184874,0.25253501400560224
719161530,visual cortex,8,9,0.8361204481792717,0.26585434173669464
719161530,visual cortex,8,10,0.7658683473389356,0.2473529411764706
719161530,visual cortex,8,11,0.531624649859944,0.2642016806722689
719161530,visual cortex,8,12,0.70906162464986,0.2558403361344538
719161530,visual cortex,8,13,0.6438795518207283,0.2074089635854342
719161530,visual cortex,8,14,0.7240756302521009,0.21235294117647058
719161530,visual cortex,16,0,0.7474649859943977,0.2323809523809524
719161530,visual cortex,16,1,0.8879831932773111,0.21733893557422973
719161530,visual cortex,16,2,0.9866246498599439,0.2391596638655462
719161530,visual cortex,16,3,0.936498599439776,0.2392436974789916
719161530,visual cortex,16,4,0.9715266106442577,0.2658823529411765
719161530,visual cortex,16,5,0.9230812324929971,0.26415966386554623
719161530,visual cortex,16,6,0.959859943977591,0.24756302521008405
719161530,visual cortex,16,7,0.9013725490196078,0.23247899159663868
719161530,visual cortex,16,8,0.6139075630252101,0.2591036414565826
719161530,visual cortex,16,9,0.9179831932773108,0.2592296918767507
719161530,visual cortex,16,10,0.8829271708683473,0.19400560224089633
719161530,visual cortex,16,11,0.9348039215686276,0.23246498599439777
719161530,visual cortex,16,12,0.9448879551820729,0.2492296918767507
719161530,visual cortex,16,13,0.9163725490196079,0.2023109243697479
719161530,visual cortex,16,14,0.8628991596638655,0.24578431372549017
719161530,visual cortex,32,0,0.9883333333333333,0.22245098039215688
719161530,visual cortex,32,1,0.9933053221288516,0.2742997198879552
719161530,visual cortex,32,2,0.9933053221288516,0.2526050420168067
719161530,visual cortex,32,3,0.9582072829131653,0.2574929971988796
719161530,visual cortex,32,4,0.9983333333333334,0.23092436974789918
719161530,visual cortex,32,5,0.9565266106442577,0.2709383753501401
719161530,visual cortex,32,6,0.9882913165266107,0.23242296918767508
719161530,visual cortex,32,7,0.9799439775910365,0.25598039215686275
719161530,visual cortex,32,8,0.9849439775910364,0.25072829131652663
719161530,visual cortex,32,9,0.9815966386554622,0.24082633053221292
